,AUC0,AUC1,phi_signe_pos,phi_signe_neg,phi_ROC,mean_grad_signe_pos,mean_grad_signe_neg,mean_grad_ROC,LM_grad_signe_pos,LM_grad_signe_neg,LM_grad_ROC,mean_grad_input_signe_pos,mean_grad_input_signe_neg,mean_grad_input_ROC,LM_grad_input_signe_pos,LM_grad_input_signe_neg,LM_grad_input_ROC,mean_IG_signe_pos,mean_IG_signe_neg,mean_IG_ROC,LM_IG_signe_pos,LM_IG_signe_neg,LM_IG_ROC,IG2_signe_pos,IG2_signe_neg,IG2_ROC
0,0.7684310089433882,0.7826555069219375,1.0,0.0,1.0,1.0,1.0,0.875,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.875,1.0,0.0,1.0,1.0,1.0,0.8636363636363636,1.0,1.0,0.7424242424242424
1,0.7996428511566296,0.8346288650183803,1.0,0.0,0.9962121212121212,1.0,1.0,0.9356060606060606,1.0,0.0,0.9962121212121212,1.0,0.0,0.9318181818181818,1.0,1.0,0.9318181818181818,1.0,0.0,1.0,1.0,1.0,0.912878787878788,1.0,1.0,0.9053030303030303
2,0.7607102651123088,0.8148927098432708,1.0,0.0,1.0,1.0,1.0,0.9810606060606061,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9810606060606061,1.0,0.0,1.0,1.0,1.0,0.9659090909090909,1.0,1.0,0.9810606060606061
3,0.7936665132051188,0.8187980495532289,1.0,0.0,1.0,1.0,1.0,0.8560606060606061,1.0,0.0,1.0,1.0,0.0,0.9962121212121212,1.0,1.0,0.8560606060606061,1.0,0.0,1.0,1.0,1.0,0.8409090909090909,0.3333333333333333,0.6666666666666666,0.571969696969697
4,0.7708033058169201,0.8190674808714187,1.0,0.0,1.0,1.0,1.0,0.803030303030303,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.7954545454545454,1.0,0.0,1.0,1.0,1.0,0.7916666666666666,1.0,1.0,0.7954545454545455
5,0.7659405340297059,0.8137882821373401,1.0,0.0,1.0,1.0,1.0,0.9015151515151516,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9015151515151516,1.0,0.0,1.0,1.0,1.0,0.8939393939393939,1.0,1.0,0.928030303030303
6,0.7960376864478432,0.842571818576016,1.0,0.0,1.0,1.0,1.0,0.8674242424242423,1.0,0.0,1.0,1.0,0.0,0.9848484848484849,1.0,1.0,0.8636363636363635,1.0,0.0,1.0,1.0,1.0,0.8522727272727273,1.0,1.0,0.9128787878787878
7,0.7675681366762791,0.8123655594541822,1.0,0.0,1.0,1.0,1.0,0.9545454545454545,1.0,0.0,1.0,1.0,0.3333333333333333,0.9621212121212122,1.0,1.0,0.9507575757575758,1.0,0.0,1.0,1.0,1.0,0.9469696969696969,1.0,1.0,0.8484848484848484
8,0.7765872645925714,0.8417870446731287,1.0,0.0,1.0,1.0,1.0,0.9015151515151516,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9015151515151516,1.0,0.0,1.0,1.0,1.0,0.8901515151515151,1.0,1.0,0.8295454545454546
9,0.7601452103695,0.7975867196745283,1.0,0.0,1.0,1.0,1.0,0.9393939393939393,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.9393939393939393,1.0,0.0,1.0,1.0,1.0,0.9356060606060606,1.0,1.0,0.8863636363636362
