,Temperature,Y,cosD,sinD,Continuous_urban_fabric,Discontinuous_urban_fabric,Industrial_or_commercial_units,Road_and_rail_networks_and_associated_land,Green_urban_areas,Sport_and_leisure_facilities,Non-irrigated_arable_land,Vineyards,Pastures,Complex_cultivation_patterns,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",Broad-leaved_forest,Coniferous_forest,Mixed_forest,Natural_grasslands,Transitional_woodland-shrub,Water_courses
Medicago,7.962153066154225e-06,-5.591385045267831e-06,5.427226985746453e-07,4.704973227043231e-06,-1.1349361739232294e-05,-8.546368323963423e-06,-9.889426333943642e-06,3.0244239644109496e-07,3.158242434064566e-06,-4.282988720451396e-06,-6.634175257071232e-06,-2.9627837118087358e-06,-9.22199506946316e-06,5.194004154536789e-06,-5.546131452375334e-06,-3.9454941489069395e-06,-9.124228974669771e-07,4.455675378176379e-06,-2.2592542352725216e-06,-1.2838168755533339e-05,2.192388325207648e-06
Verbascum,9.440643016100345e-06,-6.525556173388536e-06,7.248573940435988e-07,5.1987830379381155e-06,-1.1536014211095296e-05,-1.0278239478234007e-05,-1.238252618434042e-05,5.999771990290105e-07,4.393773046464625e-06,-4.324044028246883e-06,-7.096452257376138e-06,-3.484151686372548e-06,-1.0803424583039269e-05,6.912622288692861e-06,-6.847438256307634e-06,-4.044283367875324e-06,-5.006675709696451e-07,4.502312634608292e-06,-1.6142495403659477e-06,-1.627445095367036e-05,1.2025330826387605e-06
Hypericum,8.696175625499491e-06,-6.045498097763985e-06,8.18005243638449e-07,4.709106565905676e-06,-1.0697065876945234e-05,-9.648096604586182e-06,-1.1204682133627805e-05,-1.7156329316543852e-07,4.2598724876577765e-06,-3.1206776083332695e-06,-6.807011525223529e-06,-3.3464605233289585e-06,-1.005909037923963e-05,5.57908660652354e-06,-6.562175866360415e-06,-3.6665104642704185e-06,-6.502417878708516e-07,4.277121694728423e-06,-1.5654069619953912e-06,-1.4387486502396069e-05,1.79924431331467e-06
Veronica,5.659046879052299e-06,-4.170984645883036e-06,7.527005632575493e-07,3.287820584997303e-06,-6.256701732900428e-06,-6.443037906741366e-06,-9.09843212132531e-06,-4.71624654691928e-07,3.2352825944391768e-06,-1.1168455812708457e-06,-4.520904673212036e-06,-2.4382717929910232e-06,-7.295118795300548e-06,4.344076007113211e-06,-4.998879863826485e-06,-2.7740821999441827e-06,-6.080721844510052e-07,2.620728504411478e-06,-1.3747998845766382e-06,-1.0878389597583834e-05,-1.225248486644735e-06
Galium,8.889889393304332e-06,-5.827514693469654e-06,1.7456854336661673e-07,5.196805529443936e-06,-1.0483824570624214e-05,-9.652296489695156e-06,-1.181838110104157e-05,1.3256525077019714e-06,3.894893213963854e-06,-3.8145412786250274e-06,-6.071110897619532e-06,-3.5872458614617985e-06,-1.0098532923349571e-05,7.374285088490656e-06,-6.26356427798302e-06,-3.42693240627622e-06,-6.012985429538491e-07,3.521466753761493e-06,-1.407391995634479e-06,-1.655063498394953e-05,-1.1890975139936598e-07
Plantago,6.289450803345196e-06,-4.277835880852e-06,3.565037953411947e-07,3.80848772867411e-06,-7.95883585326194e-06,-6.572923893005419e-06,-6.9866220542213576e-06,1.1032087700397721e-06,2.922179183833424e-06,-3.2906586288815376e-06,-4.635601628885232e-06,-2.7229726017179875e-06,-7.204246556598699e-06,4.943797514676381e-06,-4.43544478484127e-06,-2.365348266638332e-06,-1.9150836317606108e-07,2.638547418743679e-06,-6.335046518659835e-07,-1.0620045580804098e-05,1.2211397284021346e-06
Calystegia,7.886560015899092e-06,-5.565808390120264e-06,6.952078122563262e-07,4.4378051422110996e-06,-9.417359972608955e-06,-8.784296693165876e-06,-1.0496051861918911e-05,3.911942632303945e-07,3.886710456032587e-06,-3.1310379130338216e-06,-6.1063366976851725e-06,-3.2553024140065582e-06,-9.500610965862977e-06,5.761067631412326e-06,-6.189716754609455e-06,-3.273709272399011e-06,-5.700928428966238e-07,3.654637915798361e-06,-1.2085170134991486e-06,-1.3957975141502703e-05,1.2159164072639202e-06
Buddleja,7.789593094703655e-06,-5.6019264049345486e-06,6.608857452034259e-07,3.888495549631319e-06,-1.1148050693751245e-05,-9.518235560903068e-06,-1.3962550676851962e-05,-2.9211318346136592e-06,2.661889833187109e-06,-2.142534112087515e-06,-6.546940779781619e-06,-1.2907237372446163e-06,-8.571030168824155e-06,3.411170456844596e-06,-5.446079278683793e-06,-5.165499199401541e-06,-1.9327379965058116e-06,5.772503870399021e-06,-4.66600566891671e-06,-1.3248213790818911e-05,4.004446174940411e-07
Clematis,9.306397908496227e-06,-6.559607272193987e-06,6.337221994949414e-07,5.547653131214199e-06,-1.162615402925311e-05,-1.048673875638324e-05,-1.337093747552474e-05,7.001225917927368e-07,3.9798674248807756e-06,-4.271581334849696e-06,-7.372109370306945e-06,-3.972605132906529e-06,-1.123745706643654e-05,7.037609486083607e-06,-7.129730870861814e-06,-4.462807260991935e-06,-8.385999438208381e-07,4.681534339883656e-06,-1.962687695722223e-06,-1.7206913550114464e-05,8.408466562777378e-07
Borago,5.828079657421265e-06,-4.197587236072783e-06,9.041484496127836e-07,3.1375082901347454e-06,-6.717698119089295e-06,-6.307923192990129e-06,-8.192789306749218e-06,-6.715131770163795e-07,2.794207110434517e-06,-9.800098297602677e-07,-5.618413291307046e-06,-3.1330675953272723e-06,-7.772498894248976e-06,3.1233756441434706e-06,-5.046883967708201e-06,-3.194758054658055e-06,-5.552153573514819e-07,3.379297952513082e-06,-1.2079218192139956e-06,-9.110164963127637e-06,6.757409481244861e-07
Dipsacus,9.341742972606395e-06,-6.331496546889234e-06,7.897309499810372e-07,4.680582799087907e-06,-1.2677575523023306e-05,-1.0164005899962334e-05,-1.1385758189349732e-05,-1.228094968343393e-06,3.799248482412645e-06,-3.770105962501002e-06,-7.638592610977145e-06,-2.936244402254145e-06,-1.0230683338192025e-05,4.47455948065272e-06,-6.232928755409665e-06,-4.349881383582899e-06,-1.0502753548391057e-06,5.297193584268361e-06,-2.5463523598585233e-06,-1.339831496467713e-05,3.5164976915176967e-06
Melilotus,8.768254083534745e-06,-6.149059134412722e-06,5.898734413149049e-07,5.317919850242192e-06,-1.0217389978228774e-05,-9.389452855519803e-06,-1.149792611411766e-05,2.1528909452269445e-06,3.9269128334201935e-06,-4.519769708841183e-06,-7.259644252480683e-06,-4.886908023187066e-06,-1.158673170453254e-05,7.511114307835289e-06,-7.2803882566449186e-06,-3.80163987655655e-06,-5.758983090439255e-07,3.622791085934001e-06,-6.916044524034229e-07,-1.652942555590246e-05,1.2082252420342487e-06
Foeniculum,1.0433368499881657e-05,-7.59869738720495e-06,3.579231294962019e-07,6.764571372300645e-06,-1.1170514628826443e-05,-1.2858791063138515e-05,-1.9706218977872782e-05,2.3849977943805735e-06,3.967538078693108e-06,-5.429447147021317e-06,-7.899188526428945e-06,-5.108316825507183e-06,-1.3934940179315505e-05,1.0624720134224261e-05,-9.214212079927955e-06,-5.562186374950084e-06,-1.1910280142628482e-06,4.816368482259889e-06,-1.977291341690506e-06,-2.4975796308619193e-05,-2.0970003425183234e-06
Phyteuma,7.803169996841754e-06,-4.92136556677143e-06,4.975890778415976e-07,3.601261145772707e-06,-9.644448854883635e-06,-8.352934648663053e-06,0.0,-1.717132565751857e-06,0.0,-1.3361576172510325e-06,-5.469512510268442e-06,0.0,-7.897194898901255e-06,3.850647176844383e-06,-4.874437712445231e-06,-3.087689805266424e-06,-8.098251959326275e-07,3.8099004994900238e-06,-2.268068615001818e-06,-1.12117658137421e-05,5.665542348303403e-07
Valeriana,8.146798112500235e-06,-5.725146529715232e-06,5.936913280767847e-07,4.823338137717526e-06,-1.1055823266268107e-05,-9.314991160795361e-06,-1.2050699439241032e-05,-1.1510853619375816e-06,3.1912519236038557e-06,-2.8867646270542742e-06,-6.468000591504878e-06,-2.4745036209478284e-06,-9.199182253067406e-06,4.857128448150936e-06,-5.735029360094682e-06,-4.4077446807785576e-06,-1.2357636345166646e-06,4.856742633269915e-06,-3.0465625257749586e-06,-1.3760246427574863e-05,6.620243572772351e-07
Helianthus,9.039744165099625e-06,-6.221934157695986e-06,8.500324560595456e-07,4.293151465906244e-06,-1.0717740900707055e-05,-9.991076364268909e-06,-1.2356918552579517e-05,-2.660662140752759e-07,4.294842619810706e-06,-3.0901683466129315e-06,-7.3490382462556975e-06,-3.5935134105795553e-06,-1.0730571063772078e-05,5.595909852029873e-06,-6.9969616439453955e-06,-3.967796567046433e-06,-7.793691596856132e-07,4.491523016417709e-06,-1.7497639672522526e-06,-1.5086289231804533e-05,1.751255831310486e-06
Globularia,6.457057513583864e-06,-4.4895493906639025e-06,5.392069469041562e-07,4.058542408343486e-06,0.0,-7.032972138963838e-06,-7.739502659420008e-06,0.0,0.0,-2.7975389930181047e-06,-5.2660557995683385e-06,-1.9742088131211814e-06,-6.743163401013456e-06,3.354051275597415e-06,-4.0060802862576305e-06,-3.4420515865973268e-06,-7.005378755710085e-07,4.0376672513258e-06,-2.2188129381033723e-06,-9.328766974731887e-06,1.6919219034350912e-06
Nerium,5.442990517687057e-06,-3.921332994780511e-06,4.4156566774096654e-07,3.636416566946213e-06,-6.650714710108982e-06,-5.695828584326332e-06,-6.847533927685032e-06,0.0,0.0,-2.437381814157139e-06,-4.811427914838922e-06,-3.4144021934724907e-06,-7.274622762646945e-06,4.626790495746846e-06,-4.592622291844302e-06,-2.651465664566136e-06,-3.293716087792324e-07,2.580328603877595e-06,-5.789240045633702e-07,-1.0011144347475106e-05,4.22614730764183e-07
Lamium,6.375705470211617e-06,-4.520060022448082e-06,1.0167789324156672e-06,3.159700727228201e-06,-7.6901290676953e-06,-6.951433173851338e-06,-8.89882047070195e-06,-2.148486810237156e-06,3.0771536215156022e-06,-7.39672954726832e-07,-5.5402206870549564e-06,-2.1144462048517513e-06,-7.5582383050610925e-06,2.6886401625161033e-06,-4.77992182392916e-06,-3.421558811164424e-06,-7.078054321971825e-07,3.851268343603855e-06,-1.958698474937193e-06,-8.909447001783768e-06,5.333185874664862e-07
Crocus,5.822985000074704e-06,-4.155086369959655e-06,7.267135644680674e-07,3.034176765189066e-06,-6.1413218328634946e-06,-6.70423672449703e-06,-9.733603719506856e-06,-7.799218574898218e-07,3.2034909576617276e-06,-4.3314197873156605e-07,-4.936747281662016e-06,-2.7233889602719986e-06,-7.604600465802046e-06,3.941755085499583e-06,-5.28040066252201e-06,-2.946853832686188e-06,-7.280950647617149e-07,2.869707405011467e-06,-1.528760050197327e-06,-1.098459152986134e-05,-1.1130480191724993e-06
