,Temperature,Y,cosD,sinD,Continuous_urban_fabric,Discontinuous_urban_fabric,Industrial_or_commercial_units,Road_and_rail_networks_and_associated_land,Green_urban_areas,Sport_and_leisure_facilities,Non-irrigated_arable_land,Vineyards,Pastures,Complex_cultivation_patterns,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",Broad-leaved_forest,Coniferous_forest,Mixed_forest,Natural_grasslands,Transitional_woodland-shrub,Water_courses
Lathyrus,8.300559893839987e-06,-5.818007348862943e-06,7.945996616035231e-07,4.998433586928189e-06,-1.0794132577555095e-05,-8.250369548806885e-06,-9.310362118033525e-06,9.319502293673451e-07,3.3589686292821877e-06,-4.249440493183233e-06,-7.333329097976698e-06,-4.014243509118655e-06,-1.0381296285481632e-05,5.6412040012877175e-06,-6.034772570379704e-06,-4.119157174589806e-06,-4.799676602578725e-07,4.412798450357335e-06,-1.337176820332159e-06,-1.2547618552244601e-05,2.047836252257781e-06
Cistus,1.0930300013595693e-05,-7.365555139357676e-06,9.007657827935922e-07,6.4558412816006194e-06,-1.4543775791186828e-05,-1.1012897838006167e-05,-1.2047982582524962e-05,-2.177322258428819e-07,4.455748757277897e-06,-4.985382356325251e-06,-8.313499608594848e-06,-3.4433107127428577e-06,-1.1922036774167059e-05,6.80568678541943e-06,-6.807743821235353e-06,-5.079490954820459e-06,-6.581026437231358e-07,5.897804326569081e-06,-2.5207510458554163e-06,-1.5561817504789235e-05,1.7933618364945005e-06
Iris,8.583958482767671e-06,-5.86926333744955e-06,7.520518321890931e-07,5.176177480323403e-06,-1.0778912443673051e-05,-8.857595664768761e-06,-9.7528480607518e-06,2.439016124302251e-07,3.9218223987573606e-06,-3.144584315794459e-06,-6.732585901445839e-06,-3.4815342782594344e-06,-9.88511276534953e-06,5.655341694432302e-06,-5.993355007673739e-06,-3.7795995483749076e-06,-5.111152944427481e-07,4.213900279764106e-06,-1.4645168633848308e-06,-1.3069749125618662e-05,1.2443707549862465e-06
Aquilegia,6.322694189878219e-06,-4.4605754818413904e-06,9.311546614572595e-07,3.1417369280065192e-06,-8.056542918373972e-06,-7.242735755750931e-06,-8.7878770790683e-06,-2.5495119121280607e-06,3.1192061783745625e-06,-8.607109508883548e-07,-4.9980869671994054e-06,-1.4386934302625944e-06,-6.734888736868275e-06,2.4154366067169314e-06,-4.428749736892509e-06,-3.1409475039936297e-06,-7.278012450921015e-07,3.873311905814651e-06,-2.1381410210210568e-06,-8.839697391148812e-06,9.62756490407303e-07
Rosa,8.764988805509685e-06,-6.013273160160935e-06,6.82005069981921e-07,5.13518314951304e-06,-1.0497079621451545e-05,-9.465297550964142e-06,-1.129556945546784e-05,4.067312681862531e-07,3.9488896911157e-06,-2.9428042227541557e-06,-7.0273330174139165e-06,-4.037025569799957e-06,-1.060665419820975e-05,6.007237699007574e-06,-6.688039896170693e-06,-3.928946366183963e-06,-7.389307986095862e-07,4.2071326125219375e-06,-1.4765995394904764e-06,-1.4766798706219526e-05,1.0251779609062946e-06
Senecio,8.618231271416232e-06,-6.075133311083265e-06,4.033508218607373e-07,5.24771017209485e-06,-1.090380813376361e-05,-9.523149394539806e-06,-1.1950822587941377e-05,1.7806577675713144e-06,3.784824560509753e-06,-4.813021468204656e-06,-6.559937920171889e-06,-3.797606607942775e-06,-1.0360959178891245e-05,7.504335977331178e-06,-6.544470322480448e-06,-3.857629850486271e-06,-5.960839030259567e-07,3.940776604784179e-06,-1.5360754590569875e-06,-1.671856839905491e-05,5.456416882331288e-07
Cotoneaster,1.0091308071264849e-05,-6.934698649122049e-06,7.351060982244717e-07,5.170419831165128e-06,-1.0864117770299631e-05,-1.1724131715462306e-05,-1.6799975182885455e-05,-7.219715106068392e-07,4.496369757914721e-06,-2.275698737978387e-06,-7.978397279157888e-06,-4.132877970814116e-06,-1.258019569455037e-05,7.025200059511833e-06,-8.265978250394586e-06,-4.975032289700186e-06,-1.2860087357852936e-06,4.998801480841571e-06,-2.545264429996422e-06,-1.9245933594196677e-05,-8.378147593236079e-07
Salvia,7.255313029737084e-06,-5.073272455201855e-06,1.0394360781481007e-06,3.5800651090188103e-06,-9.008220565468183e-06,-7.646434557151664e-06,-9.542585589502471e-06,-1.6514722713378993e-06,3.1826931389424596e-06,-1.7748329196863495e-06,-6.513864102365529e-06,-2.6757226239924194e-06,-8.67841720446006e-06,3.222176325678743e-06,-5.327062811787332e-06,-3.910407875642029e-06,-7.03293324203436e-07,4.4177893517049714e-06,-2.0144346627407035e-06,-9.924948047197279e-06,1.3720184551142373e-06
Dianthus,7.084463700681893e-06,-5.016686750335651e-06,5.472494581281117e-07,4.296638253999782e-06,-9.972166961713486e-06,-8.01021953746018e-06,-9.717420432515664e-06,0.0,2.905584959610074e-06,-3.197380106014289e-06,-5.48284826601494e-06,-2.121346261290979e-06,-7.692046607170687e-06,4.371194821723307e-06,-4.768708888468391e-06,-3.6503973481945177e-06,-8.564325754684562e-07,4.079474811586708e-06,-2.348867283198813e-06,-1.1754147309993494e-05,1.135002381487628e-06
Potentilla,9.218900161642166e-06,-6.4019314609741665e-06,5.525517329693736e-07,5.6632771146929715e-06,-1.0789202326672387e-05,-1.0023576431576242e-05,-1.2261227469643892e-05,1.488042887106526e-06,4.534484509853968e-06,-3.959062263039318e-06,-6.812236443430455e-06,-4.154848929690127e-06,-1.1251095522903472e-05,7.94416271176764e-06,-7.195753318804797e-06,-3.716439527871718e-06,-5.48420430007039e-07,3.7303204591459127e-06,-1.1998473620796135e-06,-1.7385167418609314e-05,1.844735064372595e-08
Crataegus,1.20390920095838e-05,-7.726281952886267e-06,3.7262471919241897e-07,6.4045523869780125e-06,-1.2697114317156058e-05,-1.3121334705274332e-05,-1.8136072659234936e-05,6.983451918955154e-08,5.439799932294378e-06,-2.699194854441425e-06,-8.466113786490587e-06,-4.86052494113087e-06,-1.436471274607426e-05,9.302003523619407e-06,-9.059203057714014e-06,-5.046066574345477e-06,-1.304954931695894e-06,4.787076329035937e-06,-2.6239622822161204e-06,-2.251317603669672e-05,-2.459759280716055e-06
Wisteria,6.683740212139354e-06,-4.7957625729964115e-06,1.1703684034496952e-06,3.365334032452872e-06,-7.167965393623629e-06,-7.151612228199155e-06,-1.0796625934543556e-05,-1.76669517184297e-06,3.1102902848800804e-06,-3.830008028357784e-07,-6.524185451581842e-06,-3.1552726014831287e-06,-9.142059906011466e-06,3.3744615744240033e-06,-5.821431058293135e-06,-4.204365125985987e-06,-8.740564893594535e-07,4.097031940062835e-06,-2.0675667316467647e-06,-1.0422222261617264e-05,-8.919218452732017e-07
Brassica,9.740804828975846e-06,-6.79620396051885e-06,7.453270495877002e-07,5.598741760618254e-06,-1.018312075111806e-05,-1.0587906121680945e-05,-1.4539693492847365e-05,1.0912374945585552e-06,5.135505248051054e-06,-2.3015968308659204e-06,-7.583802714301174e-06,-4.9654048489334106e-06,-1.2897325210516588e-05,8.47806424451013e-06,-8.487566034149402e-06,-4.256042429230747e-06,-9.76095843727068e-07,3.8023802557189678e-06,-1.6002340429224663e-06,-1.9264515327550842e-05,-2.0604327646579024e-06
Chelidonium,6.189505286166813e-06,-4.634288875314226e-06,9.57360547355901e-07,3.458798887707408e-06,-6.939981995323983e-06,-7.279030611633582e-06,-9.914730833478252e-06,-1.1658832667252711e-06,3.5254552984941334e-06,-6.415487472119112e-07,-5.327568771268228e-06,-2.771752777217634e-06,-8.04386426799348e-06,3.861542532294359e-06,-5.65619722514671e-06,-3.0940401520411572e-06,-7.697075356249442e-07,3.274473646670338e-06,-1.5478200163326641e-06,-1.1202098874321108e-05,-2.4705953557085685e-07
Campanula,7.028118883833184e-06,-4.9804137183226855e-06,6.553541028844253e-07,4.257115131458237e-06,-8.2875809791687e-06,-7.544940598327083e-06,-8.960378865351891e-06,8.525821552851733e-07,3.5156328959956e-06,-2.8986892645588824e-06,-5.759103053197407e-06,-3.598653961417065e-06,-8.949493235385103e-06,5.46066651936213e-06,-5.758285214262622e-06,-2.950579669682543e-06,-3.8631494558827837e-07,3.019815707175882e-06,-7.160984584640288e-07,-1.2420883148617052e-05,8.951192953539363e-07
Rosmarinus,5.1825551774339575e-06,-3.861309245128186e-06,9.539003847110518e-07,2.677011201392522e-06,-5.737896905240435e-06,-5.78126785716516e-06,-8.778340870363167e-06,-1.3678464467896376e-06,2.482453945720714e-06,-4.1707739476488594e-07,-5.1194490995991775e-06,-2.485813596005481e-06,-7.158090979160122e-06,2.7170784548856197e-06,-4.705982336311216e-06,-3.3380794197219785e-06,-7.19178612638311e-07,3.2910579028356087e-06,-1.691952971979069e-06,-8.594369056891073e-06,-5.868817723794254e-07
Allium,8.382257295481016e-06,-5.739916692296366e-06,5.064787171499948e-07,4.752867378370391e-06,-9.947308685498476e-06,-9.301915944999969e-06,-1.2050278718988005e-05,2.9394578816368237e-07,3.5986195127201476e-06,-3.0969173096450545e-06,-6.679565118922568e-06,-3.7783721958276695e-06,-1.0332468976196351e-05,6.08420983399139e-06,-6.530630149351726e-06,-3.867237477543753e-06,-8.541948448480204e-07,3.959097761348489e-06,-1.7033894248861979e-06,-1.5220377826477368e-05,4.589054705013319e-07
Stellaria,6.930978732753765e-06,-4.710212978995359e-06,4.2858836275829094e-07,3.945942964114007e-06,-7.60026362461151e-06,-7.558426699402452e-06,-1.03168858589331e-05,5.980431166852437e-08,3.689384238178441e-06,-1.6605538007367185e-06,-4.780329221437548e-06,-2.6727606365347327e-06,-8.349732422761894e-06,5.8712882001558324e-06,-5.396429445639079e-06,-2.846613587828807e-06,-6.42064276822329e-07,2.6839636417118585e-06,-1.5372103329936345e-06,-1.333034303930856e-05,-1.9986672208197023e-06
Thymus,8.073009445508295e-06,-5.660180463715679e-06,5.622415572682268e-07,4.968778836919774e-06,-1.1119880766853038e-05,-8.919196976551209e-06,-1.145229023022246e-05,-1.0319053169501357e-07,3.0709709318897505e-06,-3.6705772996250413e-06,-6.6187865072469935e-06,-3.023717488104097e-06,-9.331738487210627e-06,5.388794559504143e-06,-5.666453171998247e-06,-4.4520793238266175e-06,-9.706699238111365e-07,4.6829020473263914e-06,-2.657525765069544e-06,-1.3847773860347984e-05,5.722540926948428e-07
Knautia,8.7655896131745e-06,-6.009710304567963e-06,4.597187730345107e-07,5.389186120405279e-06,-1.323030139407997e-05,-9.537809301696873e-06,-1.0289149598561362e-05,-1.1298666433386466e-07,3.1171467026870216e-06,-4.6552842237836285e-06,-7.16433905024306e-06,-3.0493658649408446e-06,-9.427467926748941e-06,4.901008376663696e-06,-5.5230689251945825e-06,-4.388797797623434e-06,-1.1150001709017075e-06,5.1208664074091535e-06,-2.7501647707637453e-06,-1.3263520460651364e-05,3.250563798112684e-06
Lonicera,6.025518086040116e-06,-4.355838066866602e-06,9.780221657141303e-07,2.963038529846966e-06,-6.9615431361628564e-06,-6.892260798470792e-06,-9.493928120361605e-06,-1.9557574185899897e-06,3.125118363674413e-06,-4.0820580314830287e-07,-5.3294340786180794e-06,-2.2333459177863095e-06,-7.457575228705261e-06,2.814409852697331e-06,-5.068342175551027e-06,-3.2771639679434672e-06,-8.153230344101445e-07,3.603229404692204e-06,-1.955569980973435e-06,-9.55483277939706e-06,4.582205024491086e-08
Silene,5.827229079581488e-06,-4.139955916473678e-06,6.348942632938203e-07,3.4051248506174696e-06,-7.2215833683344495e-06,-6.454048671879978e-06,-7.952751200256179e-06,-6.720942236730923e-07,2.9213955855568023e-06,-1.5568018063314745e-06,-4.5025125455221574e-06,0.0,-6.760177746302633e-06,3.754872241432037e-06,-4.388638730714789e-06,-2.7184957820419896e-06,-5.305170595050361e-07,2.9884262925666656e-06,-1.4594690387294157e-06,-9.695384883337557e-06,6.130239918178398e-08
Lotus,6.8183356869253035e-06,-4.658513608886187e-06,4.5094359060805095e-07,4.014504805464285e-06,-9.798687964358584e-06,-6.810813355230353e-06,-6.8026776200135125e-06,8.642564858102866e-07,2.681310444034825e-06,-4.034017650192566e-06,-5.863179752781166e-06,-2.9660561352810414e-06,-7.868587377035721e-06,4.304571883627018e-06,-4.532815042731746e-06,-3.0744479560802107e-06,-4.552282916006789e-07,3.614333535993408e-06,-1.3026603293906457e-06,-9.800693318757214e-06,2.874402768833965e-06
