,Temperature,Y,cosD,sinD,Continuous_urban_fabric,Discontinuous_urban_fabric,Industrial_or_commercial_units,Road_and_rail_networks_and_associated_land,Green_urban_areas,Sport_and_leisure_facilities,Non-irrigated_arable_land,Vineyards,Pastures,Complex_cultivation_patterns,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",Broad-leaved_forest,Coniferous_forest,Mixed_forest,Natural_grasslands,Transitional_woodland-shrub,Water_courses
Vicia,6.9244081308549245e-06,-5.9320380145739675e-06,-8.541512301967017e-08,4.165654382140278e-06,-8.218676172464256e-06,-1.0414409815772764e-05,-1.1115454469834654e-05,6.700297549257556e-07,6.878251339920399e-06,-1.110983887399252e-06,-8.141097667499566e-06,-3.455889068548524e-06,-9.954332422342442e-06,3.6899321173521586e-06,-3.4081939324721593e-06,-8.037694958868257e-06,-4.168746324942654e-06,3.7594234005761494e-06,-3.5838106519387705e-06,-9.779667082194497e-06,-2.8165946670095356e-06
Alliaria,9.605975399153977e-06,-7.972618284334796e-06,-8.610955519650077e-07,7.638968246084232e-06,-1.1836367945820911e-05,-1.4639880517813213e-05,-1.700625952945183e-05,1.7190529952064133e-06,9.2441969684387e-06,-1.1745312914085666e-06,-1.0072884907507465e-05,-4.794906928741376e-06,-1.1892932580879102e-05,4.522190976846938e-06,-4.241374686557719e-06,-1.0508383330558686e-05,-7.216671866959494e-06,5.902875187016236e-06,-5.308806475182871e-06,-1.6887962413114148e-05,-3.882038325694675e-06
Ligustrum,7.930058431675748e-06,-6.886447635299866e-06,-6.625338909747268e-07,5.001157309389856e-06,-9.975734047451065e-06,-1.212631542897817e-05,-1.4781255948874658e-05,2.0365126525879904e-06,7.809861333441456e-06,-2.5288278900635486e-06,-7.885437561072981e-06,-2.814841895383263e-06,-9.217927043820081e-06,3.778021190539336e-06,-2.4414208985694876e-06,-7.487005236015933e-06,-5.231237339586618e-06,5.3989781560316835e-06,-4.019638601022482e-06,-1.4673084929719192e-05,-2.0016847675126486e-06
Convolvulus,7.461964101544848e-06,-6.385083887297049e-06,-8.874913620027212e-07,5.222893289158946e-06,-8.835589090158855e-06,-1.110917317548585e-05,-1.3719364989978908e-05,4.040143212324329e-06,7.232117649636557e-06,-1.6667935660023205e-06,-7.736354622303871e-06,-3.3900305003241585e-06,-8.859841908390999e-06,4.510053099688688e-06,-1.947289677805549e-06,-7.2005432799358044e-06,-4.148631171379443e-06,5.136051487778312e-06,-3.080266411680678e-06,-1.4421851128796114e-05,-3.302227456150691e-06
Medicago,6.6392704018313245e-06,-5.639049028293887e-06,-5.214696060352594e-07,4.107849705568315e-06,-7.762478644459995e-06,-1.0076206710780791e-05,-1.1757219966240175e-05,2.7910601437773473e-06,6.610104348618644e-06,-1.290488181660168e-06,-7.726018792774332e-06,-3.589279665502324e-06,-9.028342389837813e-06,4.046463609249514e-06,-2.807884893855599e-06,-7.473985957816918e-06,-3.8346080000752325e-06,4.0946917813998196e-06,-3.367625396311784e-06,-1.1671866360247696e-05,-3.026077443684051e-06
Verbascum,7.813774802168785e-06,-6.708315459770978e-06,-7.861173952880766e-07,4.499900752937091e-06,-9.055829495572164e-06,-1.1262186116360123e-05,-1.3663351635666634e-05,4.2325308017227935e-06,7.771559813486072e-06,-9.179236311240674e-07,-8.267870838966504e-06,-3.5868117287932793e-06,-9.473641736585357e-06,4.204972886992227e-06,-1.0881944431887927e-06,-7.620911903358135e-06,-3.2299202230107615e-06,5.648378419734331e-06,-3.026475778282334e-06,-1.3781051257471797e-05,-3.844885143673939e-06
Hypericum,7.343872860941257e-06,-6.4076682130099826e-06,-5.374136018642327e-07,4.141897937755139e-06,-8.858661508998622e-06,-1.0803646144059049e-05,-1.3039250629340993e-05,2.0223939796455778e-06,7.483693898792982e-06,-5.129793544039208e-07,-7.595988403369641e-06,-3.01743050726236e-06,-8.921493663740882e-06,2.5649714215071245e-06,-1.1503371676094445e-06,-7.148751708124653e-06,-4.228247604549601e-06,5.174546080776986e-06,-3.4619468626146963e-06,-1.2880929885820504e-05,-2.8354033210637274e-06
Veronica,5.166257047730052e-06,-4.485497726044587e-06,-3.188010211853867e-07,3.2759871396871187e-06,-6.438162065715727e-06,-7.87353904245706e-06,-9.20448899097969e-06,4.919192113966415e-07,5.372238799603131e-06,1.703657323442861e-07,-5.566143298552614e-06,-2.443410207370408e-06,-6.70569613826065e-06,1.5013096312789009e-06,-1.490951496517542e-06,-5.558311419441532e-06,-3.7286861891705668e-06,3.4173232215008956e-06,-2.8909106768006e-06,-8.876096593598264e-06,-2.0869958413886583e-06
Galium,7.465032546508975e-06,-6.274446965836501e-06,-7.559569365426841e-07,5.600923244523885e-06,-9.083852721834125e-06,-1.1231544084454587e-05,-1.3153146409256083e-05,3.938956168322973e-06,7.0502617360591925e-06,-4.561220412477793e-06,-6.530602478117602e-06,-2.018907244687915e-06,-8.002168010562166e-06,6.400177186108176e-06,-3.289381307079185e-06,-5.798951785219445e-06,-4.034841436139282e-06,4.730735056834116e-06,-2.9190674087893103e-06,-1.4025946207098476e-05,-1.5018034834778646e-06
Plantago,5.128841632299681e-06,-4.3149104866990056e-06,-5.615562542665204e-07,3.653915044664488e-06,-5.976073778955735e-06,-7.558225373777464e-06,-8.988598813036362e-06,3.0402634609007682e-06,4.947965108932163e-06,-1.9608056951250025e-06,-5.017931381234806e-06,-2.0770506629363512e-06,-5.946506805838489e-06,3.890634747134564e-06,-1.7482720914285503e-06,-4.664785158392493e-06,-2.4559882206067254e-06,3.442249176732825e-06,-2.0225101123723133e-06,-9.48907736604705e-06,-1.9297763991868866e-06
