,AUC0,AUC1,AUC3_0,AUC3_1,phi_pos,phi_neg,phi_odg,grad_pos,grad_neg,grad_odg,grad_feature_pos,grad_feature_neg,grad_feature_odg,IG1_pos,IG1_neg,IG1_odg,grad_LM_pos,grad_LM_neg,grad_LM_odg,IG1_LM_pos,IG1_LM_neg,IG1_LM_odg,simple_pos,simple_neg,simple_odg
0,0.7972004847630848,0.7733015515859654,0.5941969175092459,0.627304139137475,0.5777777777777777,0.4182692307692308,0.5020718714624455,0.6277777777777778,0.8365384615384616,0.41589529537270387,0.6333333333333333,0.3798076923076923,0.5033040468459572,0.6611111111111111,0.3701923076923077,0.46368460036988557,0.65,0.35096153846153844,0.5248711922519694,0.6611111111111111,0.7932692307692307,0.4007871714004873,0.6888888888888889,0.7019230769230769,0.5735060164631676
1,0.786322047826889,0.7556798320885508,0.49583714372809023,0.6760322711525858,0.6192893401015228,0.34946236559139787,0.507682344837258,0.6903553299492385,0.7473118279569892,0.3933248599205809,0.6751269035532995,0.3978494623655914,0.4694883484682156,0.6802030456852792,0.3924731182795699,0.3999751336565958,0.7309644670050761,0.3870967741935484,0.4932021191781379,0.7106598984771574,0.7204301075268817,0.33408050213514684,0.700507614213198,0.6827956989247311,0.522003178413657
2,0.7676020551197366,0.7679194858084173,0.5615635339611333,0.6445653761869978,0.6798029556650246,0.37037037037037035,0.4956709956709957,0.8423645320197044,0.544973544973545,0.47216318684868785,0.625615763546798,0.4497354497354497,0.514681347437211,0.7093596059113301,0.4497354497354497,0.513074123815062,0.6748768472906403,0.41798941798941797,0.5553846029592299,0.9950738916256158,0.43915343915343913,0.4738944424445491,0.6650246305418719,0.671957671957672,0.5336934298821293
3,0.8092654766942281,0.7718681372988099,0.5369240124318724,0.6533281592403215,0.5397727272727273,0.4205607476635514,0.5151435062827469,0.5965909090909091,0.8598130841121495,0.4547195947512403,0.6022727272727273,0.4158878504672897,0.5268106366207632,0.6136363636363636,0.40654205607476634,0.49341441786062035,0.6193181818181818,0.3411214953271028,0.5519195993879539,0.6079545454545454,0.8317757009345794,0.43814044605183844,0.6420454545454546,0.6495327102803738,0.5626770644966848
4,0.8154886194176236,0.7609572894748123,0.596252806237932,0.7048598429510592,0.6540284360189573,0.39226519337016574,0.4960275154838054,0.5213270142180095,0.8729281767955801,0.4807635062165979,0.4786729857819905,0.27624309392265195,0.5591419064233564,0.5023696682464455,0.27624309392265195,0.560413378377131,0.5497630331753555,0.24861878453038674,0.5966330222726811,0.5260663507109005,0.8729281767955801,0.49396685404148094,0.5924170616113744,0.6629834254143646,0.5532714442629154
5,0.789644818223878,0.7657678052532041,0.5195729537366548,0.6246409989594173,0.6157894736842106,0.38571428571428573,0.5037777526053466,0.7157894736842105,0.6761904761904762,0.4679179882193022,0.6631578947368421,0.4238095238095238,0.4903330312641595,0.6631578947368421,0.48095238095238096,0.5194760987766198,0.6684210526315789,0.3761904761904762,0.5305012460353421,0.7157894736842105,0.48095238095238096,0.5039425690983235,0.6526315789473685,0.6142857142857143,0.5282280811055732
6,0.7900723913235066,0.7460094346031536,0.5637125220458554,0.6247706986765158,0.5990338164251208,0.4336734693877551,0.4864283010047631,0.8309178743961353,0.5408163265306123,0.4183461940681794,0.6618357487922706,0.45918367346938777,0.5072211193199047,0.6714975845410628,0.44387755102040816,0.513696584165573,0.7536231884057971,0.49489795918367346,0.5556028719088811,0.8309178743961353,0.5459183673469388,0.45505512105142065,0.6038647342995169,0.6122448979591837,0.5386826189657821
7,0.803478659520724,0.7744636251650155,0.6583477572488562,0.6489385902946564,0.5970149253731343,0.34574468085106386,0.5032472078195576,0.8606965174129353,0.6117021276595744,0.5202852453778339,0.6417910447761194,0.3829787234042553,0.5801739938710005,0.6368159203980099,0.39361702127659576,0.5588845801925842,0.7213930348258707,0.35106382978723405,0.5935282413257229,0.8606965174129353,0.6063829787234043,0.4791773778920308,0.6368159203980099,0.6117021276595744,0.5806547281890404
8,0.8328578444277932,0.7690187699408472,0.6015811761491702,0.639271135799352,0.5882352941176471,0.3825136612021858,0.5076027197314326,0.6203208556149733,0.8579234972677595,0.5292133943124042,0.5454545454545454,0.21311475409836064,0.557982217140633,0.5561497326203209,0.23497267759562843,0.5726190186586226,0.5775401069518716,0.22950819672131148,0.6074823022842825,0.6203208556149733,0.8524590163934426,0.5618203712263119,0.6844919786096256,0.7213114754098361,0.5579098450385579
9,0.8117012838320004,0.7695617655963718,0.5857296425692018,0.5843584076640633,0.5898876404494382,0.37055837563451777,0.509887512202448,1.0,0.4213197969543147,0.4873223699031314,0.6460674157303371,0.4619289340101523,0.5377643613426448,0.6797752808988764,0.4619289340101523,0.5596245400615754,0.7696629213483146,0.4720812182741117,0.5829865585342044,1.0,0.4213197969543147,0.4987315461440264,0.6685393258426966,0.7055837563451777,0.5661707591799956
