,mean_grad_signe_pos,mean_grad_signe_neg,mean_grad_odg,mean_grad_dummy,LM_grad_signe_pos,LM_grad_signe_neg,LM_grad_odg,LM_grad_dummy,mean_grad_input_signe_pos,mean_grad_input_signe_neg,mean_grad_input_odg,mean_grad_input_dummy,LM_grad_input_signe_pos,LM_grad_input_signe_neg,LM_grad_input_odg,LM_grad_input_dummy,mean_IG_signe_pos,mean_IG_signe_neg,mean_IG_odg,mean_IG_dummy,LM_IG_signe_pos,LM_IG_signe_neg,LM_IG_odg,LM_IG_dummy
0,1.0,0.0,0.0001339800092781567,0.00013063855670403712,0.9791666666666666,1.0,0.00010663739764306706,3.241798990434929e-05,1.0,0.9714285714285714,0.00010812337103075891,3.899344081142863e-05,1.0,0.02857142857142857,0.0001545653922028257,0.000134806001417574,1.0,0.9714285714285714,6.607441347629233e-05,2.6047357625158663e-05,1.0,0.02857142857142857,9.443581470871339e-05,8.872163029054975e-05
1,1.0,0.0,6.758596205054923e-05,0.00010091115743250864,1.0,1.0,5.262388288692782e-05,2.2001745383502423e-05,1.0,0.9714285714285714,5.593747423725115e-05,3.0227563195456024e-05,1.0,0.0,7.956172386877469e-05,9.437768442410872e-05,1.0,0.9714285714285714,2.2478359613225883e-05,1.4077275472712804e-05,1.0,0.0,3.2011206196903596e-05,4.391304941735319e-05
2,1.0,0.0,2.679213418468896e-05,0.00010528445711088315,1.0,1.0,2.23156006275951e-05,2.800075858796977e-05,0.9772727272727273,1.0,1.9129491680434766e-05,2.8382374871879683e-05,1.0,0.0,3.0535262077452945e-05,0.00011247215469116251,1.0,1.0,1.535560664830926e-05,1.5288049710765808e-05,1.0,0.0,2.436040117289578e-05,6.0724954370220686e-05
3,0.0,1.0,0.00016576035725712903,0.00027656929195736855,0.0,0.0,0.00013435274599338487,5.8176332996517384e-05,0.0,0.022727272727272728,0.0001269875855226876,7.751538312011425e-05,0.0,1.0,0.00018539800066903482,0.00028299015240530474,0.0,0.022727272727272728,8.962727138552224e-05,4.269958805367884e-05,0.0,1.0,0.0001323010671908615,0.0001555635921433449
4,0.0,1.0,0.00023470430775225748,4.177927076761885e-05,0.0,0.0,0.00018321395189519363,9.64825284532593e-06,0.02702702702702703,0.043478260869565216,0.00015403677041806997,1.2085923501738914e-05,0.0,1.0,0.00024220850722993817,4.1415876403793114e-05,0.0,0.043478260869565216,0.00011279140894986491,1.9568759038101378e-05,0.0,1.0,0.00017927497602776742,6.801164233616734e-05
5,1.0,0.0,0.0001175139141811412,1.2088108778234452e-05,1.0,1.0,9.556575672891351e-05,4.0347197065139065e-06,1.0,1.0,8.867828399887653e-05,4.152779975057253e-06,1.0,0.0,0.00013844537567572833,1.1919125684879453e-05,1.0,1.0,6.007552987838093e-05,4.675749373376105e-06,1.0,0.0,9.41148100992897e-05,1.4353311938888548e-05
6,0.0,1.0,0.0001610686403427381,0.00020413158037721179,0.0,0.0,0.0001207793602703082,4.3931341930248916e-05,0.05263157894736842,0.022222222222222223,0.00012453629714786655,6.094353217429139e-05,0.0,1.0,0.00018704964827093328,0.0002022402072133154,0.05263157894736842,0.022222222222222223,8.51779597309064e-05,3.148765200265473e-05,0.0,1.0,0.00012783889752668927,0.00010311235868292864
7,0.0,1.0,6.990887225079931e-05,0.00017471965403106034,0.0,0.0,5.7705632162880823e-05,3.7091243427566e-05,0.020833333333333332,0.0,5.351582093509753e-05,4.730549125969116e-05,0.0,1.0,7.897699355198375e-05,0.00016473300410090432,0.020833333333333332,0.0,6.26087553263712e-05,3.603169999286617e-05,0.0,1.0,9.224057697998127e-05,0.00012629637298172187
8,1.0,0.0,0.00012486180736246273,0.000247430080861218,1.0,0.975609756097561,0.00010279814774053058,4.49979068174594e-05,0.9285714285714286,0.926829268292683,9.201705468440828e-05,8.234002530256464e-05,0.9761904761904762,0.0,0.00014877378053481817,0.00023214695476423918,0.9285714285714286,0.926829268292683,8.661686269502171e-05,5.042596827436282e-05,0.9761904761904762,0.0,0.00014104953076971095,0.0001424993616774445
9,0.02564102564102564,1.0,2.5170927043473963e-05,7.86608858369074e-06,0.02564102564102564,0.0,2.0577215842566825e-05,2.308654932576041e-06,0.05128205128205128,0.0,2.040583321584519e-05,2.4673420203812174e-06,0.0,1.0,2.8552897236810026e-05,7.212707612363048e-06,0.05128205128205128,0.0,1.968956459461013e-05,2.3168260018581415e-06,0.0,1.0,2.8016090900271143e-05,7.165232941915899e-06
