,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
67,80.5,2.058058010879982e-06,Scabiosa,sinD,47,,1.0,1.440982059832353
68,81.5,2.063534662840908e-06,Cardamine,Industrial_or_commercial_units,,20,0.0,1.4448166248358274
69,82.0,1.918587707696773e-06,Dianthus,Dianthus,48,,0.03333333333333333,1.3433297080988609
70,82.5,-1.993769562970398e-06,Angelica,Y,49,,0.0,-1.3959694802051312
71,83.0,-2.0431962108313143e-06,Phyteuma,Temperature,50,,1.0,-1.4305763340783988
72,83.5,1.973355095379774e-06,Alliaria,Y,51,,0.0,1.3816759659292432
73,84.0,2.0169537705746764e-06,Sambucus,Road_and_rail_networks_and_associated_land,,21,0.9666666666666667,1.4122022720178893
74,87.5,-1.908963587121865e-06,Erica,Erica,52,,0.9666666666666667,-1.336591226959461
75,89.0,-1.9778598364274176e-06,Malva,Y,53,,0.0,-1.3848300320437692
76,89.5,1.9248477238533956e-06,Caltha,Industrial_or_commercial_units,,22,0.0,1.3477127580072048
77,90.0,-6.3983825974348e-07,Phyteuma,Non-irrigated_arable_land,,23,0.1,-0.4479929373275937
78,90.5,1.995042527305424e-06,Rosa,sinD,54,,1.0,1.3968607664370458
79,91.0,1.8548395677397728e-06,Nerium,Water_courses,,24,0.0,1.2986954336808907
80,91.0,1.7741035740438548e-06,Iris,Transitional_woodland-shrub,,25,0.0,1.2421668431924175
81,93.0,-1.8772636032538613e-06,Chaerophyllum,Chaerophyllum,55,,0.0,-1.3143959789104338
82,93.0,-1.6603402810332474e-06,Chelidonium,Natural_grasslands,,26,0.43333333333333335,-1.1625136636274533
83,94.0,1.8429902635688096e-06,Euphorbia,Euphorbia,56,,0.4666666666666667,1.2903989548442452
84,94.0,1.9042216505140043e-06,Chaerophyllum,Industrial_or_commercial_units,,27,0.0,1.3332710845996893
85,96.0,1.8767335908341922e-06,Viburnum,Temperature,57,,1.0,1.3140248822823535
86,96.5,-1.884214447300206e-06,Leucanthemum,Y,58,,0.0,-1.3192627229567753
87,96.5,-1.8037665180250399e-06,Digitalis,Industrial_or_commercial_units,,28,0.0,-1.2629358253555703
88,97.0,-1.8742872928119171e-06,Ligustrum,Green_urban_areas,,29,1.0,-1.3123120678016797
89,97.0,-1.9039143172960247e-06,Valeriana,Y,59,,0.0,-1.3330559003574778
90,98.0,-1.9026040705957519e-06,Philadelphus,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,30,0.0,-1.3321385102843766
91,98.5,1.8638482593494844e-06,Nerium,Continuous_urban_fabric,,31,0.0,1.3050030124388898
92,99.5,1.91352946930627e-06,Leucanthemum,sinD,60,,1.0,1.33978810201364
93,99.5,1.945530626819196e-06,Galium,Galium,61,,0.1,1.3621942215818044
94,100.5,1.924019947352001e-06,Clematis,Industrial_or_commercial_units,,32,0.0,1.3471331771199049
95,101.0,1.8895605038773689e-06,Syringa,Complex_cultivation_patterns,,33,1.0,1.3230058495245471
96,101.5,-1.8409879480389162e-06,Dipsacus,Y,62,,0.0,-1.2889970017693333
97,101.5,-1.802068336949623e-06,Verbascum,Y,63,,0.0,-1.2617468168577115
98,102.5,-1.852356102118464e-06,Lonicera,Y,64,,0.0,-1.2969565957144202
99,102.5,1.8428992766190169e-06,Syringa,Industrial_or_commercial_units,,34,0.0,1.2903352488837536
100,109.5,1.775022424891835e-06,Euphorbia,sinD,65,,1.0,1.2428101912324638
101,110.0,1.7433131904147703e-06,Viburnum,sinD,66,,1.0,1.2206084662223264
102,110.5,1.8657533883888253e-06,Myosotis,Industrial_or_commercial_units,,35,0.0,1.306336918846213
103,111.0,-1.8067757528600458e-06,Brassica,Transitional_woodland-shrub,,36,0.0,-1.2650427890019507
104,111.5,-1.765463264652855e-06,Campanula,Y,67,,0.0,-1.2361171931057768
105,112.5,1.7413478105549668e-06,Verbascum,Temperature,68,,1.0,1.2192323742444713
106,113.5,1.7592091320571871e-06,Sedum,Complex_cultivation_patterns,,37,1.0,1.2317382626662423
107,114.5,1.6571110672968908e-06,Digitalis,sinD,69,,1.0,1.160252678253448
108,118.0,-9.204701810969967e-07,Ribes,sinD,70,,1.0,-0.644481841891462
109,119.5,1.6598302191354234e-06,Carduus,sinD,71,,1.0,1.1621565356746537
110,120.5,1.6064240773508757e-06,Sambucus,cosD,72,,0.03333333333333333,1.124763375817371
111,125.0,1.7286187546775335e-06,Cardamine,Temperature,73,,1.0,1.2103199232537714
112,125.5,1.5907496958572831e-06,Dianthus,Transitional_woodland-shrub,,38,0.0,1.1137887082366562
113,126.0,1.5717252567735141e-06,Genista,Genista,74,,1.0,1.1004684445350692
114,127.5,1.7323630140879424e-06,Globularia,Vineyards,,39,0.7,1.212941526050794
115,128.5,-1.6050863780090254e-06,Papaver,Y,75,,0.0,-1.1238267643405002
116,129.5,1.5597185072698846e-06,Sambucus,Temperature,76,,1.0,1.0920617278438165
117,131.0,1.5988424759876678e-06,Echium,sinD,77,,1.0,1.1194549970003367
118,135.0,1.6463669718741445e-06,Thymus,Complex_cultivation_patterns,,40,1.0,1.1527300289056366
119,135.5,-1.698252183507216e-06,Brassica,Brassica,78,,0.0,-1.1890582853195035
120,137.0,1.5704203806307122e-06,Crocus,Y,79,,0.0,1.0995548147432264
121,138.5,-1.6079590556702397e-06,Rhododendron,Transitional_woodland-shrub,,41,0.0,-1.1258381153090384
122,139.5,1.5585361602455363e-06,Verbascum,Continuous_urban_fabric,,42,0.0,1.091233888763686
123,141.5,-1.5295205731606026e-06,Myosotis,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,43,0.0,-1.070918163830833
124,142.0,1.4946319394265137e-06,Knautia,sinD,80,,1.0,1.0464903318469385
125,143.0,1.5403045839616303e-06,Valeriana,sinD,81,,1.0,1.0784687605657979
126,143.5,-1.5002443212873428e-06,Verbascum,Transitional_woodland-shrub,,44,0.0,-1.05041993029928
127,144.0,-1.6117426402228917e-06,Malus,Green_urban_areas,,45,1.0,-1.128487252230062
128,144.0,-1.4355715583040508e-06,Philadelphus,Water_courses,,46,0.0,-1.0051382663587838
129,145.0,1.5960753132581415e-06,Malva,sinD,82,,1.0,1.1175175239899529
130,146.0,1.4468534676232442e-06,Silene,Transitional_woodland-shrub,,47,0.0,1.0130374746627626
131,149.0,1.448446472112107e-06,Cardamine,sinD,83,,1.0,1.0141528421001955
132,150.5,1.5000708653551227e-06,Malva,Malva,84,,0.23333333333333334,1.0502984823686683
133,151.0,1.5157322402491683e-06,Digitalis,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,48,0.0,1.0612640431717766
134,151.5,1.4498266777165212e-06,Malus,Industrial_or_commercial_units,,49,0.0,1.0151192150130712
135,152.0,-1.5206545095104364e-06,Heracleum,Heracleum,85,,0.0,-1.064710448307907
136,154.0,-1.5244165713334596e-06,Aquilegia,Water_courses,,50,0.06666666666666667,-1.0673445157473564
137,155.5,1.4566506358752073e-06,Valeriana,Discontinuous_urban_fabric,,51,0.0,1.0198971178864253
