,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
68,68.0,4.8880001486395486e-06,Erica,Complex_cultivation_patterns,,3,1.0,1.8988050898791236
69,68.0,4.8670008254703134e-06,Daucus,Temperature,65,,1.0,1.8906476388755966
70,70.5,4.675904619944049e-06,Melilotus,Temperature,66,,1.0,1.8164139161514168
71,77.0,4.813152145288768e-06,Aquilegia,Green_urban_areas,,4,1.0,1.8697294422915705
72,77.0,-4.430756007423042e-06,Crocus,Temperature,67,,1.0,-1.721182856602196
73,78.5,4.619697847374482e-06,Cardamine,Cardamine,68,,1.0,1.794579688942877
74,79.0,4.616770866050501e-06,Erica,Erica,69,,0.9666666666666667,1.7934426662614225
75,80.5,-4.294459358789027e-06,Alliaria,Temperature,70,,1.0,-1.668236710470886
76,81.5,-4.2984554511349415e-06,Taraxacum,Temperature,71,,1.0,-1.6697890427653441
77,81.5,-4.2549661429802654e-06,Rosmarinus,Temperature,72,,1.0,-1.652895074441222
78,81.5,-4.279998847778188e-06,Euphorbia,Temperature,73,,1.0,-1.6626193432297502
79,83.0,4.204905280857929e-06,Sedum,Temperature,74,,1.0,1.6334483033874023
80,84.0,4.2604829104675446e-06,Clematis,Temperature,75,,1.0,1.655038132106112
81,84.5,-4.158624506089836e-06,Erica,Temperature,76,,1.0,-1.6154699547742866
82,86.5,4.141395720580476e-06,Knautia,Temperature,77,,1.0,1.6087772165126657
83,87.0,4.119504183108802e-06,Rubus,Temperature,78,,1.0,1.6002731736500517
84,87.5,-4.248485311109107e-06,Clematis,Transitional_woodland-shrub,,5,0.0,-1.6503775138501013
85,92.5,-4.0268528209708165e-06,Foeniculum,sinD,79,,1.0,-1.5642815875898906
86,93.0,3.986281171819428e-06,Angelica,Temperature,80,,1.0,1.5485210205745872
87,93.5,4.141076033192803e-06,Chelidonium,Green_urban_areas,,6,1.0,1.608653029929109
88,94.0,-3.9458711853512796e-06,Angelica,sinD,81,,1.0,-1.5328232534603567
89,96.0,3.887690809278865e-06,Crataegus,sinD,82,,1.0,1.5102223551669864
90,96.0,3.958650722779566e-06,Caltha,Discontinuous_urban_fabric,,7,0.0,1.5377876253869587
91,96.0,-3.8747270991734695e-06,Pyrus,Temperature,83,,1.0,-1.5051864390492886
92,96.5,-3.839752935164142e-06,Crataegus,Temperature,84,,1.0,-1.4916002854863308
93,99.0,-3.875167067235452e-06,Bellis,Temperature,85,,1.0,-1.5053573501724622
94,99.5,3.9920607832755195e-06,Sedum,Green_urban_areas,,8,1.0,1.550766183282572
95,100.0,-3.8073551422712626e-06,Buddleja,Buddleja,86,,0.06666666666666667,-1.4790149556632597
96,100.0,-3.832943093584618e-06,Cotoneaster,Discontinuous_urban_fabric,,9,0.0,-1.488954916939018
97,100.0,3.913478622052935e-06,Alliaria,sinD,87,,1.0,1.520239955139008
98,100.5,-3.751686108444119e-06,Heracleum,Heracleum,88,,0.0,-1.4573896198274876
99,101.0,-3.7193966591075878e-06,Cardamine,Temperature,89,,1.0,-1.4448463774205365
100,102.5,3.891700316671631e-06,Phyteuma,Discontinuous_urban_fabric,,10,0.0,1.5117798987049937
101,103.0,-3.6306939819041872e-06,Convolvulus,Convolvulus,90,,0.03333333333333333,-1.4103887076500885
102,103.0,3.7330954683056916e-06,Hypericum,Temperature,91,,1.0,1.4501678520194852
103,104.5,3.6449100662139244e-06,Melilotus,Road_and_rail_networks_and_associated_land,,11,0.9666666666666667,1.4159111242672386
104,104.5,-3.7290790260158246e-06,Angelica,Angelica,92,,0.26666666666666666,-1.4486076145335416
105,105.0,3.7160174315431505e-06,Malus,sinD,93,,1.0,1.4435336740031686
106,106.0,3.654343913694902e-06,Centaurea,Temperature,94,,1.0,1.4195758208853453
107,107.0,3.706234792844043e-06,Sedum,Sedum,95,,0.9666666666666667,1.4397334850527892
108,108.0,3.646723030215071e-06,Alliaria,Green_urban_areas,,12,1.0,1.4166153929187246
109,112.0,3.548134486663912e-06,Ligustrum,Temperature,96,,1.0,1.3783174341204187
110,112.0,3.5689939750227495e-06,Helianthus,Temperature,97,,1.0,1.3864205645344099
111,112.0,3.521131020534085e-06,Scabiosa,Temperature,98,,1.0,1.3678275983240828
112,114.0,3.590236474337871e-06,Lathyrus,Temperature,99,,1.0,1.3946724803680322
113,116.0,-3.5879940014638123e-06,Chaerophyllum,Complex_cultivation_patterns,,13,1.0,-1.3938013635968178
114,119.5,3.3654047228992567e-06,Calystegia,Temperature,100,,1.0,1.3073337608475553
115,119.5,3.4113191986762104e-06,Medicago,Temperature,101,,1.0,1.3251698160139358
116,121.0,-3.3764621321097366e-06,Helianthus,sinD,102,,1.0,-1.3116291504243291
117,121.5,-3.3907498391272384e-06,Malus,Temperature,103,,1.0,-1.317179389782461
118,124.0,-3.2606185413897038e-06,Phyteuma,Complex_cultivation_patterns,,14,1.0,-1.266628251692709
119,125.0,-3.362205006851582e-06,Borago,Industrial_or_commercial_units,,15,0.0,-1.3060907909349655
