,median_rank,median_score,plant,features,ecological_rank,land_use_rank,sign,zscore
439,477.5,-6.12025015640982e-07,Cotoneaster,Y,147,,0.0,0.4590333592290916
440,477.5,6.236572856628783e-07,Ajuga,Non-irrigated_arable_land,,292,0.13333333333333333,0.12926345220396565
441,480.0,3.6651431508683496e-08,Melilotus,sinD,148,,0.0,-0.4562802200022506
442,480.0,-5.023128369103938e-07,Pyrus,sinD,149,,0.2,0.456294204639125
443,481.0,6.074691512130787e-07,Medicago,Broad-leaved_forest,,293,0.43333333333333335,0.4417872084144611
444,481.5,-6.068192735330777e-07,Crocus,Vineyards,,294,0.9666666666666667,0.4683282878529674
445,481.5,6.072466916028805e-07,Convolvulus,Industrial_or_commercial_units,,295,0.0,0.45850569929080137
446,482.5,-6.341547753017921e-07,Helianthus,"Land_principally_occupied_by_agriculture,_with_significant_areas_of_natural_vegetation",,296,0.0,0.4654423471041456
447,485.0,6.158850720895343e-07,Nerium,Transitional_woodland-shrub,,297,0.0,0.45445413837265886
448,490.0,6.15263939188082e-07,Crataegus,Broad-leaved_forest,,298,0.36666666666666664,-0.4514494035942373
449,490.0,6.210735191396743e-07,Viburnum,Mixed_forest,,299,1.0,-0.5013188216684633
450,490.0,5.868780317899611e-07,Lavandula,Pastures,,300,0.3,0.47857348307481445
451,490.5,6.066138209059178e-07,Lavandula,Non-irrigated_arable_land,,301,0.0,0.443062513421246
452,490.5,-6.094239892535622e-07,Carduus,cosD,150,,1.0,0.451781698960032
453,491.0,-3.041714501492045e-07,Sambucus,Road_and_rail_networks_and_associated_land,,302,0.4666666666666667,0.44350660418689475
454,492.5,6.11750390698038e-07,Cistus,Temperature,151,,1.0,0.5030777901611688
455,493.0,5.963222758959756e-07,Myosotis,Y,152,,0.0,0.43264170749366254
456,495.5,6.106032488688526e-07,Ranunculus,Mixed_forest,,303,1.0,-0.4461536656929516
457,495.5,-1.8755927210186574e-07,Echium,Echium,153,,0.0,0.4245421619725888
458,495.5,5.983911911525197e-07,Nerium,Complex_cultivation_patterns,,304,1.0,0.4616068202237809
459,496.0,6.232080801894418e-07,Dianthus,Discontinuous_urban_fabric,,305,0.0,0.42850379510525
460,498.0,5.959430254911844e-07,Cistus,Green_urban_areas,,306,0.03333333333333333,0.434904764472595
461,500.0,-4.368966120568307e-07,Verbascum,Verbascum,154,,0.9666666666666667,0.40828409946620725
462,500.5,6.175069285713083e-07,Lamium,Sport_and_leisure_facilities,,307,1.0,-0.46883334715120456
463,503.5,-5.860632259111735e-07,Cistus,Y,155,,0.0,-0.449864250148666
464,504.5,-1.7390467729764808e-08,Nerium,Broad-leaved_forest,,308,0.3,0.44919836240166805
465,506.5,-5.09965644587016e-07,Philadelphus,Philadelphus,156,,0.26666666666666666,0.45416650119712476
466,507.0,-6.121394120763425e-07,Taraxacum,cosD,157,,1.0,-0.45170077486781185
467,508.5,5.85694333493786e-07,Dipsacus,sinD,158,,0.0,0.4198391832181754
468,508.5,5.852897817433448e-07,Borago,Sport_and_leisure_facilities,,309,1.0,0.42559087996860423
469,512.5,5.850359952514855e-07,Wisteria,Y,159,,0.0,0.41740432670890293
470,513.0,-1.0236170949677342e-07,Genista,Road_and_rail_networks_and_associated_land,,310,0.43333333333333335,0.45381408495647907
471,513.0,5.940931775196146e-07,Stellaria,Stellaria,160,,0.06666666666666667,-0.4214444892223554
472,513.5,5.748702054355085e-07,Genista,Mixed_forest,,311,1.0,0.4391818165529395
