,AUC0,AUC1,AUC3_0,AUC3_1,phi_pos,phi_neg,phi_odg,grad_pos,grad_neg,grad_odg,grad_feature_pos,grad_feature_neg,grad_feature_odg,IG1_pos,IG1_neg,IG1_odg,grad_LM_pos,grad_LM_neg,grad_LM_odg,IG1_LM_pos,IG1_LM_neg,IG1_LM_odg
0,0.8579524211282137,0.8573892321703119,0.66363901283698,0.6312704514706242,0.6,0.8,0.40882352941176475,0.6,1.0,0.3480392156862745,0.6,0.0,0.7588235294117647,0.6,0.0,0.7941176470588235,0.6,0.0,0.7823529411764707,0.6,1.0,0.35980392156862745
1,0.8575427856756385,0.8433297048543741,0.7667320261437909,0.7515101297061524,0.8,0.2,0.7019607843137254,0.8,0.8,0.5892156862745098,0.8,0.2,0.953921568627451,0.8,0.2,0.9176470588235294,0.8,0.2,0.9647058823529411,0.8,0.8,0.5852941176470587
2,0.862640494829072,0.872278978741741,0.6910486547646423,0.7116020969660916,0.6,0.6,0.5372549019607843,0.8,0.8,0.5745098039215686,0.8,0.2,0.9990196078431373,0.8,0.2,0.9990196078431373,0.8,0.2,0.9911764705882352,0.8,0.8,0.5970588235294118
3,0.8422937516086543,0.8375875486381323,0.677713888888889,0.6653937113679118,0.4,0.6,0.4176470588235294,0.6,1.0,0.303921568627451,0.6,0.0,0.9049019607843137,0.6,0.0,0.9166666666666666,0.6,0.0,0.9509803921568628,0.6,1.0,0.3137254901960785
4,0.8681182104453211,0.8636968171539536,0.6951171597633137,0.7167016462930371,0.6,0.4,0.5196078431372549,0.6,0.8,0.5166666666666666,0.6,0.2,0.8970588235294118,0.8,0.2,0.8950980392156863,0.6,0.2,0.9029411764705884,0.8,0.8,0.5
5,0.8546690636137629,0.8513463881297834,0.7470469310383908,0.705079587696246,0.6,0.8,0.5519607843137256,0.8,0.8,0.5823529411764705,0.8,0.2,0.9803921568627451,0.8,0.2,0.9833333333333333,0.8,0.2,0.996078431372549,0.8,0.8,0.5970588235294118
6,0.8708731435058178,0.8733963953698369,0.7572311315157767,0.7931580295000815,0.4,0.8,0.4568627450980392,0.8,0.8,0.6333333333333333,0.8,0.2,0.9666666666666667,0.8,0.2,0.9676470588235294,0.8,0.2,0.9745098039215686,0.8,0.8,0.6607843137254903
7,0.8716914098662463,0.860352325828736,0.7818232881694026,0.7775173553719008,0.0,0.6,0.3411764705882353,0.6,1.0,0.4715686274509804,0.6,0.0,0.8598039215686275,0.6,0.0,0.9362745098039217,0.6,0.0,0.8823529411764707,0.6,1.0,0.5156862745098039
8,0.8424371855310699,0.8476644149944759,0.6948922116355131,0.7198356887867376,0.4,0.6,0.6235294117647059,0.8,1.0,0.4490196078431372,0.8,0.0,0.8794117647058823,0.6,0.0,0.884313725490196,0.8,0.0,0.9156862745098039,0.6,1.0,0.4774509803921569
9,0.8477277076712952,0.85740451544679,0.7414177914762461,0.7790795271735329,0.6,0.6,0.4558823529411765,0.8,0.8,0.43137254901960786,0.8,0.2,0.9676470588235293,0.8,0.2,0.961764705882353,0.8,0.2,0.9852941176470589,0.8,0.8,0.4696078431372549
10,0.849731894095007,0.8579309389886354,0.6921017684631858,0.7678024463467077,0.6,0.4,0.47549019607843135,0.8,0.8,0.5147058823529412,0.8,0.2,0.9901960784313726,0.8,0.2,0.9950980392156863,0.8,0.2,1.0,0.8,0.8,0.5882352941176471
11,0.8402550086925951,0.8432818753496868,0.6918337882204026,0.6941108128468206,0.4,0.8,0.45392156862745103,0.8,0.8,0.23333333333333336,0.8,0.2,0.7921568627450981,0.6,0.2,0.7970588235294117,0.8,0.2,0.8313725490196079,0.8,0.8,0.2343137254901961
