,AUC0,AUC1,phi_pos,phi_neg,phi_odg,grad_pos,grad_neg,grad_odg,grad_feature_pos,grad_feature_neg,grad_feature_odg,IG1_pos,IG1_neg,IG1_odg,grad_LM_pos,grad_LM_neg,grad_LM_odg,IG1_LM_pos,IG1_LM_neg,IG1_LM_odg
0,0.4954001341762299,0.7066299542694855,0.7,0.8,0.4863636363636364,0.6,0.4,0.4397727272727273,0.4,0.6,0.41931818181818187,0.4,0.6,0.5806818181818182,0.4,0.6,0.7181818181818181,0.6,0.4,0.5079545454545454
1,0.49759554742809786,0.6841691666567065,0.7,0.3,0.5227272727272727,0.8,0.6,0.509090909090909,0.4,0.9,0.6875,0.5,0.8,0.7125,0.4,1.0,0.8352272727272727,0.8,0.6,0.5329545454545455
2,0.4940259601337338,0.703924798283007,0.2,0.7,0.4636363636363636,1.0,0.6,0.31818181818181823,0.4,0.6,0.4181818181818182,0.6,0.5,0.5056818181818181,0.6,0.4,0.5,1.0,0.6,0.325
3,0.4979955025230226,0.6779646887311992,0.3,0.4,0.4954545454545455,0.4,0.6,0.5579545454545455,0.4,0.5,0.7454545454545454,0.4,0.5,0.7602272727272728,0.4,0.8,0.8863636363636364,0.4,0.6,0.5715909090909091
4,0.5122074242130104,0.6835556889568439,0.3,0.5,0.5215909090909091,0.8,0.4,0.3931818181818182,0.1,0.8,0.6170454545454545,0.6,0.6,0.5659090909090909,0.3,0.8,0.7931818181818182,0.8,0.8,0.43068181818181817
5,0.4990576272864533,0.6765219474765476,0.4,0.8,0.6045454545454545,0.4,0.6,0.6318181818181818,0.4,0.4,0.7761363636363637,0.5,0.4,0.803409090909091,0.4,0.4,0.9693181818181819,0.4,0.6,0.6829545454545455
6,0.5120197019558637,0.6744993948559717,0.4,0.2,0.4840909090909091,0.4,0.8,0.45000000000000007,0.4,0.4,0.5988636363636364,0.4,0.3,0.6681818181818182,0.4,0.2,0.865909090909091,0.4,0.8,0.44431818181818183
7,0.49267630407846974,0.7010020478006064,0.4,0.3,0.4886363636363637,0.4,0.4,0.30227272727272725,0.3,0.7,0.6840909090909091,0.2,0.5,0.6749999999999999,0.2,0.7,0.7829545454545456,0.4,0.4,0.3443181818181818
8,0.49606978425841247,0.719857358518499,0.5,0.4,0.5227272727272727,0.4,0.6,0.3306818181818182,0.4,0.6,0.7011363636363637,0.5,0.6,0.6931818181818181,0.5,0.6,0.8727272727272728,0.4,0.6,0.32272727272727275
9,0.4997132704259819,0.702533199960727,0.8,0.6,0.41250000000000003,0.8,0.2,0.6375,0.7,0.8,0.5431818181818182,0.7,0.8,0.6545454545454544,0.8,0.8,0.8806818181818182,0.8,0.2,0.6170454545454546
