"S"	""
191	787
192	787
193	787
164	787
27	787
166	787
210	787
8	787
630	787
219	787
35	787
120	787
65	662
167	662
168	662
3	662
450	662
37	662
110	662
101	662
72	662
3	662
73	662
1	662
211	662
170	662
171	662
172	662
173	662
44	662
212	662
80	662
37	662
39	662
232	662
38	662
220	662
221	662
345	662
175	662
6	662
8	662
176	662
74	662
76	662
77	662
218	662
67	662
393	662
38	662
39	662
240	662
241	662
332	662
333	662
335	662
270	662
213	662
633	662
79	662
81	662
8	662
80	662
81	662
82	662
242	662
395	662
82	662
220	662
181	662
3	662
16	662
346	662
347	662
238	662
1	662
397	662
227	662
221	662
636	662
398	662
103	662
194	662
195	662
82	629
271	629
272	629
337	629
338	629
13	629
5	629
14	629
156	629
222	629
41	629
43	629
221	629
222	629
245	629
157	629
112	629
1	629
226	629
196	629
197	629
165	629
4	629
237	629
637	629
223	629
2	629
184	629
246	629
122	629
228	629
199	629
200	629
236	629
638	629
70	629
44	629
452	629
39	629
453	629
229	629
202	629
238	629
224	629
166	629
167	629
226	629
86	629
639	629
640	629
249	629
454	629
455	629
456	629
273	629
108	629
216	629
186	629
349	629
188	629
350	629
351	629
189	629
458	629
459	629
460	629
461	629
463	629
464	629
228	629
229	629
230	629
252	629
468	629
44	543
643	543
224	543
45	543
242	543
253	543
254	543
469	543
470	543
344	543
4	543
5	543
46	543
78	543
182	543
231	543
184	543
644	543
168	543
48	543
647	543
255	543
40	543
474	543
475	543
345	543
347	543
80	543
81	543
82	543
83	543
400	543
185	543
170	543
187	543
50	543
3	543
232	543
226	543
243	543
476	543
477	543
478	543
123	543
74	543
47	543
233	543
172	543
479	543
482	543
276	543
650	543
349	543
651	543
652	543
46	543
28	543
67	543
104	543
58	543
105	543
106	543
108	543
51	491
13	491
278	491
236	491
109	491
111	491
54	491
227	491
279	491
280	491
350	491
48	491
192	491
173	491
655	491
17	491
656	491
2	491
52	491
235	491
89	491
90	491
485	491
486	491
281	491
237	491
658	491
351	491
353	491
354	491
238	491
355	491
93	491
15	491
50	491
256	491
191	491
114	491
4	491
245	491
192	491
356	491
357	491
359	491
361	491
112	491
238	491
194	491
195	491
86	491
195	491
176	491
234	491
244	491
18	491
56	491
355	442
94	442
57	442
58	442
1	442
356	442
177	442
662	442
407	442
488	442
239	442
68	442
230	442
231	442
232	442
2	442
353	442
357	442
54	442
59	442
60	442
61	442
493	442
241	442
238	442
204	442
257	442
95	442
246	442
363	442
37	442
116	442
235	442
218	442
666	442
98	442
99	377
163	377
233	377
113	377
57	377
667	377
668	377
29	377
409	377
411	377
62	377
87	377
88	377
367	377
165	377
369	377
370	377
670	377
63	377
19	377
91	377
103	377
48	377
243	377
118	377
244	377
361	377
362	377
55	377
58	377
240	285
242	285
675	285
373	285
243	285
497	285
498	285
285	285
676	285
677	285
412	285
678	285
499	285
368	285
369	285
370	285
500	285
245	285
240	285
76	285
206	285
105	285
382	285
384	285
106	285
64	285
56	285
250	285
119	285
241	285
107	230
2	230
108	230
109	230
680	230
253	230
501	230
1	230
242	230
389	230
254	230
255	230
503	230
286	230
287	230
391	230
392	230
246	230
248	230
220	230
683	230
125	230
8	230
363	230
685	230
364	230
247	230
114	230
60	230
209	180
210	180
395	180
396	180
113	180
686	180
221	180
114	180
117	180
250	180
366	180
688	180
213	180
71	180
66	180
375	180
506	180
224	180
51	180
402	180
404	180
239	180
244	177
168	177
691	177
405	177
241	177
692	177
693	177
694	177
508	177
217	177
371	177
408	183
697	183
698	183
512	183
513	183
172	183
62	183
412	183
701	183
376	183
702	183
703	183
222	183
260	183
705	183
125	183
253	183
255	183
515	183
516	183
117	183
708	142
709	142
710	142
519	142
253	142
70	142
520	142
38	142
372	142
261	142
224	142
377	142
225	142
261	142
262	142
264	142
39	142
713	149
714	149
716	149
63	149
226	149
421	149
422	149
424	149
719	149
722	149
175	149
257	149
247	149
723	149
73	142
74	142
724	142
258	142
726	142
122	142
231	142
232	142
427	142
378	142
234	142
74	142
248	142
259	142
235	142
417	113
731	113
123	113
239	113
265	59
734	59
266	59
260	59
245	59
262	59
428	59
736	59
249	68
268	68
737	87
738	87
430	87
269	87
245	87
739	100
270	100
740	100
18	73
121	73
742	73
245	73
418	71
246	71
743	71
122	71
744	71
525	71
251	66
745	66
249	66
526	66
746	66
123	90
253	90
180	90
254	90
255	90
256	90
747	90
748	90
436	113
530	113
257	113
750	113
419	113
531	113
437	113
45	113
64	113
232	97
259	97
250	97
124	97
264	97
265	97
251	97
751	97
752	97
122	97
123	97
181	265
271	265
422	265
753	265
754	265
755	265
263	265
252	265
264	265
265	265
265	265
135	265
233	265
266	265
253	265
126	265
756	265
267	265
254	265
272	265
249	265
757	301
758	301
759	301
126	301
760	301
761	301
129	301
65	301
534	301
131	301
762	301
535	301
274	301
133	301
134	301
266	301
270	301
763	301
128	301
129	301
130	301
764	301
255	301
257	301
765	301
250	301
272	301
273	301
85	301
536	301
537	301
234	301
268	301
235	301
252	301
766	301
378	301
379	301
295	301
125	301
129	301
267	230
274	230
427	230
429	230
275	230
126	230
261	230
767	230
768	230
8	230
275	230
770	230
771	230
277	230
278	230
538	230
31	230
1	230
772	375
263	375
380	375
381	375
773	375
132	375
296	375
6	375
280	375
282	375
283	375
1	375
236	375
137	375
441	375
270	375
272	375
774	375
138	375
237	375
127	375
775	375
442	375
130	375
247	375
443	375
264	375
81	375
277	375
776	375
139	375
285	375
274	375
286	375
19	375
256	375
47	375
1	375
539	375
777	375
778	375
779	375
780	375
444	375
288	375
542	375
543	375
290	375
382	375
383	375
384	375
385	375
2	375
179	375
265	375
297	375
266	375
782	375
298	375
275	429
783	429
446	429
447	429
21	429
267	429
268	429
131	429
4	429
279	429
180	429
784	429
449	429
294	429
238	429
785	429
181	429
786	429
270	429
544	429
450	429
266	429
253	429
787	429
128	429
296	429
386	429
387	429
388	429
389	429
182	429
131	429
183	429
83	429
84	429
299	429
136	429
432	429
451	429
435	429
5	429
789	429
545	429
7	429
281	429
282	429
137	429
189	429
140	429
259	429
2	429
130	429
437	602
790	602
284	602
791	602
438	602
303	602
792	602
305	602
254	602
184	602
185	602
300	602
186	602
3	602
272	602
439	602
440	602
441	602
442	602
240	602
273	602
793	602
547	602
131	602
301	602
96	602
49	602
48	602
794	602
307	602
269	602
270	602
391	602
191	602
549	602
550	602
86	602
262	602
280	602
141	602
276	602
277	602
142	602
311	602
448	717
795	717
796	717
552	717
449	717
1	717
451	717
285	717
140	717
452	717
555	717
556	717
53	717
54	717
453	717
132	717
133	717
797	717
141	717
454	717
286	717
303	717
287	717
454	717
62	717
455	717
3	717
798	717
799	717
264	717
134	717
269	717
136	717
800	717
78	717
392	717
393	717
394	717
396	717
132	717
32	717
144	717
265	717
115	717
397	717
398	717
399	717
400	717
456	717
458	717
278	717
280	717
456	717
1	717
134	717
135	717
459	717
461	717
242	717
463	717
266	717
1	717
137	717
1	777
2	777
3	777
805	777
146	777
284	777
304	777
97	777
99	777
312	777
138	777
466	777
467	777
468	777
469	777
314	777
187	777
316	777
1	777
3	777
148	777
288	777
20	777
136	777
471	777
63	777
561	777
2	777
562	777
139	777
283	777
116	777
22	777
285	777
149	777
286	777
289	777
150	777
807	777
287	777
808	777
67	777
290	777
273	777
274	777
317	777
318	777
34	777
196	777
267	777
319	777
321	777
20	777
117	777
118	777
37	777
809	777
292	777
293	777
69	777
55	777
71	777
268	777
137	777
323	777
141	777
458	777
21	777
295	777
188	777
289	777
189	777
563	777
564	777
472	941
296	941
474	941
475	941
138	941
476	941
810	941
811	941
812	941
23	941
260	941
4	941
813	941
261	941
290	941
460	941
270	941
325	941
271	941
119	941
120	941
2	941
3	941
478	941
479	941
152	941
153	941
814	941
100	941
121	941
565	941
327	941
144	941
306	941
154	941
22	941
23	941
816	941
5	941
139	941
141	941
480	941
566	941
64	941
65	941
567	941
568	941
269	941
143	941
401	941
402	941
403	941
404	941
1	941
263	941
818	941
481	941
482	941
191	941
293	941
405	941
406	941
407	941
408	941
409	941
410	941
285	941
270	941
382	941
264	941
483	941
484	941
820	941
308	941
193	941
271	941
287	941
35	941
136	941
485	941
70	941
145	941
272	941
265	941
821	1006
67	1006
68	1006
309	1006
488	1006
571	1006
142	1006
572	1006
573	1006
4	1006
71	1006
1	1006
312	1006
276	1006
248	1006
824	1006
825	1006
24	1006
59	1006
60	1006
61	1006
334	1006
19	1006
277	1006
72	1006
146	1006
36	1006
8	1006
279	1006
300	1006
280	1006
281	1006
143	1006
145	1006
148	1006
149	1006
150	1006
152	1006
21	1006
492	1006
493	1006
496	1006
828	1006
288	1006
51	1006
1	1006
336	806
497	806
498	806
499	806
500	806
337	806
249	806
338	806
250	806
156	806
300	806
829	806
52	806
305	806
269	806
580	806
251	806
581	806
582	806
339	806
340	806
583	806
341	806
342	806
344	806
345	806
6	806
306	806
158	806
346	806
309	806
71	806
72	806
282	806
830	806
832	806
275	806
348	806
349	806
411	806
1	806
39	806
1	806
159	806
310	806
311	806
586	806
352	806
283	806
835	806
415	806
416	806
417	806
418	806
419	806
422	806
301	806
284	806
285	806
354	806
277	806
463	806
424	806
426	806
1	891
464	891
465	891
147	891
62	891
304	891
355	891
305	891
204	891
838	891
288	891
429	891
431	891
432	891
356	891
357	891
504	891
505	891
434	891
842	891
843	891
154	891
360	891
206	891
63	891
435	891
148	891
149	891
1	891
246	891
247	891
248	891
270	891
195	891
314	891
290	891
9	891
155	891
255	891
10	891
313	891
207	891
8	891
150	891
291	891
292	891
293	891
122	891
306	891
3	891
294	891
507	891
508	891
509	891
845	891
510	891
846	891
847	891
101	891
76	891
102	891
278	891
1	891
308	891
1	891
77	891
73	891
75	891
1	891
250	978
315	978
161	978
64	978
513	978
2	978
317	978
515	978
1	978
2	978
279	978
468	978
295	978
1	978
65	978
1	978
851	978
291	978
852	978
299	978
361	978
272	978
151	978
273	978
137	978
362	978
309	978
310	978
363	978
1	978
208	978
588	978
365	978
589	978
516	978
856	978
159	978
160	978
469	978
59	978
436	978
517	978
518	978
520	978
521	978
522	978
1	978
1	978
1	978
2	978
2	978
2	978
3	978
2	978
3	978
3	978
4	978
5	978
4	978
5	978
590	978
123	978
124	978
125	978
23	978
260	978
1	978
1	978
4	978
4	978
2	978
5	978
5	978
2	978
6	978
8	978
161	971
315	971
370	971
74	971
371	971
126	971
127	971
128	971
129	971
524	971
526	971
22	971
316	971
152	971
384	971
130	971
131	971
132	971
133	971
372	971
162	971
275	971
24	971
166	971
167	971
168	971
262	971
16	971
318	971
153	971
135	971
3	971
4	971
196	971
197	971
23	971
439	971
440	971
441	971
154	971
137	971
138	971
315	971
251	971
864	971
865	971
866	971
75	971
77	971
17	971
18	971
19	971
264	971
597	971
300	971
280	971
265	971
34	971
281	971
162	971
442	971
444	971
103	971
104	971
1	971
2	971
528	971
531	971
60	971
53	971
277	971
278	971
532	971
533	971
198	971
209	971
316	1143
317	1143
868	1143
210	1143
1	1143
374	1143
132	1143
606	1143
279	1143
869	1143
535	1143
536	1143
537	1143
79	1143
268	1143
376	1143
870	1143
280	1143
873	1143
538	1143
539	1143
874	1143
318	1143
80	1143
171	1143
301	1143
284	1143
286	1143
211	1143
446	1143
447	1143
56	1143
1	1143
296	1143
318	1143
319	1143
875	1143
174	1143
175	1143
176	1143
320	1143
302	1143
69	1143
607	1143
200	1143
608	1143
609	1143
166	1143
76	991
78	991
80	991
20	991
876	991
321	991
281	991
282	991
877	991
878	991
201	991
303	991
106	991
378	991
322	991
21	991
22	991
379	991
475	991
1	991
287	991
289	991
611	991
448	991
449	991
450	991
1	991
283	991
23	991
202	991
879	991
203	991
292	991
451	991
452	991
453	991
454	991
4	991
321	991
24	991
476	991
477	991
882	991
304	991
323	991
323	991
272	991
322	991
273	991
274	991
305	991
294	991
455	991
458	991
89	991
23	991
324	991
35	991
254	991
883	991
884	991
885	991
382	991
479	991
275	991
279	991
459	991
460	991
461	991
167	991
542	991
1	991
545	991
159	991
160	991
209	991
886	991
481	991
325	991
2	991
162	991
212	998
547	998
325	998
887	998
179	998
86	998
180	998
183	998
306	998
327	998
147	998
307	998
615	998
550	998
551	998
27	998
326	998
308	998
327	998
3	998
284	998
888	998
889	998
890	998
891	998
309	998
385	998
108	998
109	998
386	998
553	998
87	998
299	998
184	998
185	998
328	998
297	998
213	998
186	998
280	998
2	998
214	998
139	998
140	998
163	998
892	998
10	998
256	998
894	998
895	998
82	998
83	998
310	998
617	998
618	998
1	1103
285	1103
555	1103
28	1103
329	1103
896	1103
330	1103
311	1103
30	1103
327	1103
314	1103
329	1103
557	1103
897	1103
331	1103
332	1103
11	1103
3	1103
2	1103
1	1103
2	1103
1	1103
1	1103
1	1103
2	1103
20	1103
3	1103
3	1103
21	1103
301	1103
302	1103
331	1103
898	1103
620	1103
622	1103
141	1103
303	1103
304	1103
899	1103
900	1103
2	1103
558	1103
559	1103
302	1103
463	1103
624	1103
465	1103
466	1103
467	1103
4	1103
391	1103
392	1103
71	1103
394	1103
136	1103
626	1103
1	1103
187	1103
59	1103
60	1103
14	1103
901	1103
188	1103
315	1103
561	1103
562	1103
563	1103
564	1103
215	1103
84	1103
3	1103
4	1120
37	1120
291	1120
2	1120
15	1120
16	1120
902	1120
400	1120
216	1120
401	1120
487	1120
166	1120
402	1120
62	1120
404	1120
4	1120
38	1120
17	1120
568	1120
572	1120
3	1120
283	1120
1	1120
11	1120
76	1120
292	1120
489	1120
167	1120
627	1120
628	1120
492	1120
493	1120
494	1120
5	1120
67	1120
217	1120
218	1120
219	1120
220	1120
406	1120
407	1120
470	1120
142	1120
471	1120
88	1120
4	1120
305	1120
306	1120
408	1120
11	1120
12	1120
12	1120
13	1120
9	1120
138	1120
333	1120
472	1120
473	1120
474	1120
475	1120
168	1120
41	1120
3	1120
31	1120
295	1120
4	1120
139	1120
12	1120
221	1120
169	1120
304	1120
387	1120
388	1120
3	1120
259	1120
297	1120
907	1063
22	1063
1	1063
333	1063
90	1063
334	1063
335	1063
574	1063
20	1063
909	1063
85	1063
26	1063
13	1063
14	1063
15	1063
4	1063
328	1063
298	1063
318	1063
5	1063
496	1063
497	1063
498	1063
499	1063
500	1063
501	1063
68	1063
307	1063
910	1063
409	1063
410	1063
222	1063
190	1063
112	1063
113	1063
911	1063
170	1063
913	1063
306	1063
153	1063
78	1063
914	1063
223	1063
504	1063
2	1063
915	1063
169	1063
412	1124
210	1124
916	1124
2	1124
334	1124
3	1124
1	1124
413	1124
13	1124
212	1124
321	1124
213	1124
301	1124
322	1124
85	1124
86	1124
339	1124
340	1124
260	1124
917	1124
918	1124
192	1124
629	1124
630	1124
919	1124
140	1124
634	1124
476	1124
477	1124
478	1124
1	1124
2	1124
79	1124
335	1124
337	1124
224	1124
141	1124
3	1124
1	1124
304	1124
3	1124
5	1124
6	1124
7	1124
8	1124
639	1124
640	1124
641	1124
642	1124
56	1124
309	1003
414	1003
415	1003
923	1003
643	1003
644	1003
645	1003
646	1003
647	1003
649	1003
650	1003
651	1003
652	1003
653	1003
655	1003
155	1003
310	1003
81	1003
82	1003
83	1003
225	1003
226	1003
142	1003
657	1003
658	1003
64	1003
416	1003
323	1003
342	1003
660	1003
661	1003
662	1003
663	1003
338	1003
665	1003
480	1003
2	1003
926	1003
284	1003
927	1003
309	1003
390	1003
483	1003
311	1003
214	1003
69	1003
261	1003
285	1003
286	1003
193	1003
310	1003
143	1003
507	1003
23	1003
173	1003
508	1003
509	1003
510	1003
666	1003
115	1003
417	1003
418	1003
24	1003
1	1003
325	1003
144	1003
118	1003
930	952
227	952
392	952
174	952
14	952
329	952
330	952
931	952
422	952
84	952
424	952
425	952
143	952
340	952
176	952
177	952
4	952
5	952
331	952
580	952
583	952
584	952
195	952
198	952
228	952
15	952
144	952
145	952
11	952
10	952
309	952
1	952
932	952
933	952
513	952
92	952
486	952
487	952
89	952
514	952
200	952
202	952
146	952
488	952
5	952
935	952
341	952
122	952
215	952
427	952
668	952
669	952
670	952
671	952
672	952
673	952
491	952
123	952
1	928
343	928
344	928
70	928
57	928
87	928
938	928
515	928
674	928
149	928
675	928
676	928
492	928
493	928
494	928
495	928
216	928
6	928
679	928
680	928
681	928
684	928
685	928
179	928
499	928
500	928
218	928
687	928
688	928
502	928
503	928
312	928
58	928
85	928
516	928
288	928
326	928
944	928
313	928
690	928
693	928
43	928
695	928
156	928
180	928
504	928
505	928
132	928
133	928
134	928
71	928
586	928
587	928
262	928
289	928
24	928
25	928
203	928
204	928
208	928
209	928
211	928
212	928
696	928
698	928
699	928
700	928
182	928
332	928
506	928
507	928
508	928
136	928
231	928
232	928
147	928
137	928
946	928
947	928
150	928
233	928
314	928
316	787
148	787
16	787
140	787
141	787
588	787
5	787
949	787
290	787
333	787
4	787
5	787
589	787
345	787
264	787
590	787
334	787
317	787
345	787
429	787
319	787
510	787
511	787
150	787
151	787
152	787
153	787
5	787
952	787
10	787
953	787
7	787
327	787
152	787
314	787
512	787
514	787
184	787
154	787
155	787
1	787
265	787
954	787
591	787
320	787
321	787
315	787
316	787
335	787
319	787
395	787
157	787
336	787
592	662
337	662
956	662
346	662
957	662
599	662
397	662
959	662
431	662
325	662
327	662
328	662
291	662
214	662
266	662
86	662
960	662
347	662
348	662
6	662
600	662
601	662
962	662
346	662
324	662
158	662
434	629
329	629
91	629
605	629
964	629
339	629
965	629
330	629
332	629
703	629
704	629
399	629
185	629
187	629
2	629
968	629
969	629
435	629
607	629
608	629
609	629
611	629
329	629
1	629
520	629
326	629
10	629
188	629
158	629
612	629
970	629
971	629
215	629
521	629
335	629
336	629
337	629
327	629
516	629
518	629
160	629
331	629
293	629
522	629
523	629
338	629
328	629
329	629
350	629
162	629
973	629
163	629
236	543
237	543
1	543
339	543
330	543
340	543
352	543
3	543
4	543
403	543
164	543
166	543
167	543
976	543
977	543
524	543
3	543
31	543
620	543
345	543
979	543
216	543
1	543
334	543
332	543
333	543
11	543
522	543
408	543
409	543
980	543
335	543
171	543
1	491
239	491
241	491
242	491
243	491
244	491
217	491
87	491
335	491
219	491
1	491
336	491
523	491
524	491
34	491
622	491
72	491
220	491
341	491
294	491
1	491
349	491
169	491
337	491
412	491
413	491
142	491
6	491
357	491
415	491
145	491
984	442
631	442
712	442
985	442
416	442
38	442
39	442
7	442
986	442
323	442
338	442
987	442
90	442
447	442
339	442
988	442
350	442
222	442
223	442
224	442
225	442
93	442
714	442
715	442
1	442
6	442
8	442
360	442
194	442
351	377
989	377
990	377
339	377
227	377
195	377
196	377
340	377
361	377
418	377
324	377
993	377
635	377
716	377
344	377
198	377
229	377
994	377
718	377
453	377
199	377
21	377
637	285
638	285
23	285
24	285
25	285
44	285
355	285
345	285
531	285
6	285
457	285
997	285
3	285
347	285
201	230
91	230
350	230
526	230
527	230
27	230
999	230
80	230
81	230
357	230
645	230
534	230
170	230
171	230
73	230
74	180
1000	180
204	180
1	180
6	180
333	180
83	180
366	180
1002	180
356	180
724	180
84	180
85	180
87	180
1003	180
536	180
529	180
233	180
1005	177
530	183
725	183
481	183
650	183
359	183
484	183
234	183
88	183
486	183
360	183
537	183
539	183
238	183
349	183
350	183
92	183
258	183
540	142
495	142
364	142
541	142
208	142
343	142
344	142
345	149
1	149
1021	149
1022	149
366	149
367	149
1024	149
544	149
730	149
363	142
1025	142
1026	142
210	142
211	142
173	142
174	142
10	142
656	113
364	113
1027	113
90	113
504	113
532	113
240	113
91	113
533	101
242	101
337	101
89	101
243	101
244	101
551	101
372	101
373	101
352	101
1029	101
1030	101
1032	101
1033	101
367	81
505	81
1035	59
375	68
368	68
369	68
376	68
660	87
507	87
1037	87
277	87
1039	87
1040	87
1041	100
508	100
510	73
1042	73
1043	73
1044	73
1045	73
1046	73
1047	73
535	73
661	71
512	71
373	71
1051	71
514	71
374	71
515	71
516	66
517	66
518	66
519	90
536	90
1052	113
1053	113
520	97
378	97
521	97
72	97
264	97
172	97
278	97
1054	97
1055	265
537	265
1056	265
524	265
246	265
538	265
532	265
1057	265
73	265
265	265
380	265
381	265
1058	301
382	301
533	301
534	301
1	301
1059	301
1060	301
664	301
3	230
297	230
535	230
4	230
733	230
536	230
1061	230
266	230
298	230
279	230
539	375
537	375
1062	375
52	375
6	375
383	375
538	375
385	375
74	375
539	375
281	375
356	375
1063	375
1064	375
357	375
1065	375
1066	375
358	375
540	375
541	375
12	375
45	375
376	375
735	375
541	375
737	375
301	375
302	375
346	375
1067	375
9	375
542	375
347	375
213	375
665	375
77	375
247	375
249	375
54	375
1070	375
545	375
1071	375
387	375
427	429
428	429
430	429
431	429
368	429
55	429
214	429
432	429
359	429
341	429
361	429
554	429
1073	429
1	429
555	429
434	429
739	429
1074	429
250	429
667	429
359	429
79	429
544	429
369	429
370	429
1075	429
1076	429
1077	429
378	429
438	429
303	429
1078	429
439	429
440	429
441	429
442	429
268	429
443	602
444	602
1080	602
548	602
80	602
138	602
380	602
371	602
740	602
741	602
556	602
304	602
1081	602
344	602
26	602
1082	602
446	602
30	602
372	602
345	602
305	602
86	602
449	602
307	717
308	717
9	717
672	717
1083	717
274	717
275	717
1	717
1084	717
89	717
1086	717
1088	717
1089	717
554	717
1	717
382	717
1090	717
5	717
1091	717
276	717
173	717
674	717
451	717
452	717
453	717
454	717
455	717
1092	717
2	717
140	717
456	717
457	717
460	717
1093	717
7	717
1094	777
546	777
278	777
547	777
20	777
384	777
385	777
1095	777
346	777
557	777
559	777
560	777
561	777
562	777
563	777
557	777
1097	777
348	777
564	777
565	777
461	777
363	777
462	777
744	777
464	777
465	777
1099	777
364	777
310	777
747	777
748	777
466	777
390	777
216	777
391	777
374	777
375	777
217	777
16	777
1100	777
1101	777
467	777
468	777
469	777
470	777
471	777
751	777
566	777
567	777
568	777
569	777
1102	777
386	777
1	777
1103	777
4	777
2	777
347	777
348	777
472	777
3	777
4	777
570	777
5	777
6	777
7	777
1	777
676	777
677	777
1104	777
2	777
1106	777
1107	777
549	777
1108	777
8	777
28	777
313	777
176	777
559	777
9	777
393	777
394	777
222	777
10	777
11	777
223	777
224	777
550	777
151	777
387	941
1109	941
1110	941
40	941
14	941
473	941
15	941
1	941
177	941
560	941
178	941
376	941
562	941
377	941
378	941
1111	941
678	941
679	941
5	941
366	941
352	941
476	941
253	941
395	941
16	941
379	941
17	941
18	941
179	941
180	941
551	941
160	941
368	941
563	941
683	941
369	941
161	941
571	941
1	941
254	941
221	941
315	941
478	941
753	941
255	941
350	941
351	941
282	941
481	941
1115	941
283	941
572	941
573	941
574	941
96	941
97	941
225	941
1	941
3	941
368	941
389	941
482	941
483	941
1116	941
100	941
284	941
102	941
381	941
88	941
1	941
2	941
20	941
1119	941
93	941
22	941
382	941
152	941
153	941
58	941
689	941
317	941
8	941
373	941
370	941
755	941
756	941
23	941
25	941
26	941
27	941
285	941
28	941
29	941
31	941
32	941
33	941
34	941
35	941
36	941
226	941
553	941
690	1006
691	1006
390	1006
1	1006
1122	1006
37	1006
39	1006
40	1006
41	1006
44	1006
45	1006
96	1006
89	1006
141	1006
18	1006
484	1006
46	1006
50	1006
51	1006
1	1006
2	1006
162	1006
3	1006
256	1006
257	1006
567	1006
354	1006
757	1006
396	1006
485	1006
1124	1006
1125	1006
758	1006
1126	1006
1127	1006
1128	1006
106	1006
5	1006
28	1006
693	1006
371	1006
372	1006
486	1006
487	1006
489	1006
575	1006
577	1006
3	1006
392	1006
223	1006
1129	1006
373	1006
375	1006
2	1006
491	1006
492	1006
493	1006
376	1006
384	1006
53	1006
54	1006
56	1006
57	1006
385	1006
6	1006
393	1006
3	1006
318	1006
1132	1006
494	1006
495	1006
398	1006
174	1006
175	1006
58	1006
59	1006
227	1006
259	1006
61	1006
62	1006
63	1006
288	1006
1	1006
2	1006
376	1006
1133	1006
1134	1006
225	1006
497	1006
760	1006
176	1006
181	1006
156	1006
1	806
569	806
697	806
698	806
5	806
394	806
1135	806
319	806
1136	806
320	806
500	806
503	806
4	806
288	806
64	806
66	806
386	806
182	806
183	806
395	806
355	806
261	806
262	806
506	806
507	806
508	806
400	806
554	806
177	806
387	806
396	806
352	806
1	806
1	806
1	806
9	806
10	806
264	806
765	806
768	806
1	806
578	806
1140	806
1141	806
1142	806
397	806
700	806
701	806
702	806
510	806
511	806
703	806
399	806
1143	806
512	806
513	806
514	806
322	806
353	806
5	806
378	806
705	806
379	806
2	806
323	806
107	806
324	806
356	806
22	806
580	806
581	806
582	806
583	806
584	806
157	806
1145	891
1	891
325	891
326	891
356	891
585	891
5	891
587	891
143	891
24	891
1	891
93	891
1146	891
380	891
1149	891
1	891
379	891
380	891
381	891
1	891
1	891
1	891
144	891
1150	891
1151	891
1152	891
401	891
328	891
265	891
402	891
403	891
382	891
97	891
145	891
706	891
400	891
11	891
401	891
358	891
402	891
1	891
1	891
516	891
1	891
289	891
404	891
6	891
1	891
1	891
1154	891
383	891
2	891
1	891
517	891
518	891
1	891
385	891
1156	891
708	891
1157	891
1158	891
80	891
329	891
93	891
1	978
1	978
178	978
710	978
711	978
712	978
560	978
713	978
230	978
333	978
405	978
406	978
407	978
1	978
291	978
388	978
184	978
1	978
8	978
94	978
358	978
591	978
1159	978
1160	978
519	978
386	978
773	978
774	978
292	978
1	978
403	978
46	978
95	978
47	978
1162	978
359	978
1163	978
41	978
776	978
777	978
594	978
595	978
231	978
232	978
779	978
387	978
389	978
589	978
596	978
597	978
14	978
12	978
289	978
520	978
226	978
1165	978
227	978
42	978
521	978
1166	978
111	978
1	978
360	978
96	978
405	978
334	978
408	978
391	978
392	978
393	978
389	978
599	978
266	978
185	978
188	978
189	978
62	978
562	978
522	978
524	978
8	978
411	978
26	978
61	978
192	978
193	978
194	978
716	978
717	978
3	978
1169	978
179	978
525	978
526	978
81	978
412	978
390	978
63	978
1	978
719	978
1170	978
181	978
1171	978
1	978
2	978
1	978
528	978
529	978
392	978
195	978
196	978
197	978
198	978
199	978
2	978
1	971
1	971
1	971
1173	971
1174	971
90	971
603	971
146	971
201	971
202	971
203	971
530	971
531	971
112	971
113	971
62	971
63	971
2	971
114	971
24	971
147	971
1175	971
563	971
9	971
64	971
65	971
396	971
97	971
115	971
590	971
591	971
722	971
389	971
409	971
410	971
235	971
532	971
1178	971
1179	971
534	971
536	971
267	971
268	971
269	971
271	971
272	971
273	971
274	971
277	971
43	971
538	971
98	971
592	971
593	971
595	971
596	971
1	971
725	971
726	971
564	971
92	971
390	971
339	971
236	971
237	971
414	971
66	971
397	971
393	971
294	971
48	971
1180	971
395	971
149	971
1181	971
1	971
1182	971
391	971
540	971
1183	1143
4	1143
396	1143
4	1143
64	1143
565	1143
566	1143
542	1143
543	1143
544	1143
416	1143
417	1143
397	1143
398	1143
1184	1143
1185	1143
364	1143
411	1143
412	1143
786	1143
278	1143
279	1143
280	1143
392	1143
568	1143
1187	1143
1188	1143
93	1143
419	1143
789	1143
239	1143
605	1143
606	1143
282	1143
283	1143
728	1143
13	1143
182	1143
729	1143
2	1143
607	1143
395	1143
6	1143
421	1143
99	1143
296	1143
297	1143
100	1143
598	1143
599	1143
65	1143
4	1143
422	1143
423	1143
84	1143
602	1143
603	1143
284	1143
571	1143
572	1143
291	1143
292	1143
68	1143
293	1143
547	1143
549	1143
550	1143
3	1143
21	1143
158	1143
73	991
731	991
732	991
86	991
573	991
87	991
21	991
22	991
286	991
88	991
399	991
1	991
1	991
5	991
241	991
3	991
8	991
2	991
6	991
551	991
733	991
735	991
298	991
1193	991
24	991
8	991
184	991
1194	991
1195	991
791	991
3	991
399	991
289	991
291	991
292	991
27	991
5	991
400	991
401	991
408	991
574	991
605	991
606	991
607	991
609	991
610	991
611	991
3	991
150	991
1	991
10	991
69	991
9	991
229	991
1196	991
230	991
301	991
243	991
204	991
205	991
206	991
11	991
740	991
1197	991
302	991
303	991
207	991
208	991
294	991
2	991
741	991
742	991
744	991
402	991
1198	991
90	991
