"S"	""
4	1003
5	1003
1	1003
1	1003
3	1003
14	1003
3	1003
1	1003
5	1003
6	1003
1	1003
2	1003
4	1003
1	1003
8	1003
5	1003
1	1003
2	1003
4	1003
2	1003
33	1003
34	1003
39	1003
40	1003
43	1003
45	1003
46	1003
4	1003
5	1003
1	1003
6	1003
1	1003
1	1003
2	1003
7	1003
8	1003
31	1003
1	1003
3	1003
1	1003
2	1003
2	1003
43	1003
44	1003
47	1003
49	1003
50	1003
51	1003
5	1003
6	1003
49	1003
53	1003
54	1003
56	1003
57	1003
1	1003
11	1003
38	952
39	952
1	952
1	952
2	952
3	952
4	952
1	952
2	952
11	952
1	952
7	952
53	952
7	952
56	952
58	952
59	952
61	952
62	952
1	952
2	952
3	952
4	952
5	952
6	952
9	952
10	952
12	952
2	952
3	952
16	952
4	952
1	952
13	952
14	952
1	952
8	952
2	952
9	952
1	952
2	952
1	952
17	952
12	952
4	952
5	952
2	952
3	952
8	952
1	952
1	952
2	952
14	952
1	952
6	952
4	952
2	952
40	952
9	952
3	952
1	952
6	952
10	952
66	952
68	952
1	952
10	952
1	952
32	952
33	952
34	952
35	952
42	952
69	952
71	952
73	952
74	952
75	952
3	952
7	952
36	952
37	952
5	952
2	952
6	952
2	952
83	952
87	952
39	952
40	952
41	952
50	952
7	952
88	952
89	952
90	952
91	952
42	952
44	952
43	928
4	928
4	928
11	928
12	928
3	928
1	928
15	928
2	928
1	928
45	928
19	928
8	928
20	928
8	928
1	928
2	928
21	928
22	928
24	928
6	928
9	928
10	928
2	928
15	928
1	928
3	928
3	928
93	928
94	928
95	928
14	928
98	928
101	928
105	928
106	928
5	928
3	928
1	928
4	928
4	928
1	928
109	928
111	928
113	928
116	928
3	928
4	928
6	928
7	928
9	928
45	928
46	928
48	928
46	928
47	928
1	928
2	928
13	928
4	928
51	928
5	928
1	928
1	928
2	928
6	928
2	928
9	928
53	928
54	928
55	928
3	928
50	787
2	787
8	787
51	787
4	787
5	787
2	787
2	787
13	787
14	787
57	787
58	787
59	787
2	787
1	787
1	787
1	787
1	787
2	787
2	787
3	787
1	787
1	787
4	787
5	787
1	787
1	787
3	787
1	787
6	787
1	787
2	787
1	787
7	787
16	787
17	787
15	787
1	787
1	787
2	787
1	787
1	787
1	787
1	787
25	787
27	787
28	787
10	787
1	787
1	787
1	787
5	787
1	787
3	787
1	787
14	787
2	787
1	787
2	787
1	787
1	787
17	787
1	787
2	787
6	787
4	787
2	787
1	787
6	787
1	787
1	787
1	787
6	787
1	787
2	787
18	787
6	787
9	787
1	787
2	787
1	787
1	787
5	787
6	787
7	787
2	787
14	787
1	787
11	787
120	787
1	787
2	787
8	787
1	662
1	662
4	662
16	662
2	662
3	662
1	662
7	662
2	662
7	662
1	662
8	662
9	662
10	662
11	662
13	662
14	662
1	662
1	662
17	662
29	662
30	662
31	662
11	662
14	662
15	662
1	662
3	662
1	662
33	662
34	662
8	662
3	662
1	662
2	662
16	662
18	662
8	662
8	662
15	662
16	662
61	662
4	662
1	662
5	662
1	662
1	662
2	662
6	662
17	662
3	662
7	662
63	662
64	662
65	662
1	662
1	662
4	662
10	662
5	662
5	662
6	662
18	662
66	662
67	662
2	662
1	662
2	662
6	662
7	662
1	662
9	662
10	662
69	662
70	662
3	629
18	629
8	629
11	629
16	629
9	629
7	629
8	629
9	629
5	629
9	629
10	629
15	629
1	629
16	629
2	629
10	629
11	629
1	629
10	629
12	629
15	629
15	629
73	629
5	629
1	629
2	629
2	629
11	629
12	629
11	629
3	543
4	543
1	543
2	543
1	543
3	543
6	543
1	543
3	543
14	543
16	543
17	543
3	543
1	543
10	543
1	543
1	543
35	543
2	543
1	543
2	543
1	543
74	543
9	543
1	543
76	543
77	543
52	543
53	543
1	543
19	543
7	543
8	543
7	543
78	543
15	543
16	543
6	543
5	491
21	491
7	491
2	491
1	491
18	491
22	491
22	491
20	491
5	491
20	491
1	491
2	491
23	491
22	491
18	491
1	491
3	491
9	491
10	491
82	491
12	491
18	491
10	491
86	491
3	491
23	491
11	491
24	491
12	442
55	442
13	442
25	442
2	442
14	442
2	442
8	442
13	442
2	442
56	442
4	442
7	442
13	442
24	442
1	442
8	442
9	442
19	442
20	442
21	442
22	442
10	442
16	442
17	442
3	442
19	442
2	442
19	377
20	377
9	377
1	377
2	377
25	377
4	377
21	377
23	377
4	377
13	377
2	377
10	377
1	377
57	377
16	377
9	377
1	377
11	377
10	377
17	285
4	285
12	285
28	285
18	285
30	285
25	285
26	285
60	285
11	285
11	285
14	285
27	285
15	285
16	285
17	285
16	285
23	285
29	230
1	230
20	230
2	230
30	180
31	180
35	180
37	180
1	180
36	177
38	177
17	177
32	177
22	177
11	177
23	183
11	183
1	183
12	183
35	183
24	142
25	142
2	142
36	142
1	142
38	149
20	149
21	142
41	113
42	113
40	113
41	113
42	113
34	71
26	113
27	113
43	113
44	113
12	97
35	97
8	97
1	97
31	97
2	97
5	97
30	97
32	97
33	97
35	265
36	265
3	265
7	265
1	265
4	301
45	301
89	301
48	301
35	301
13	301
49	301
36	301
5	301
37	301
31	301
22	230
1	230
1	375
32	375
29	375
38	375
43	375
1	375
45	375
51	375
1	375
1	375
38	375
39	375
12	375
13	375
40	375
41	375
1	375
39	375
1	375
30	375
31	375
40	375
4	375
35	429
42	429
18	429
2	429
1	429
2	429
3	429
1	429
52	429
53	429
2	429
44	429
45	429
36	429
2	602
46	602
38	602
4	602
1	602
2	602
3	602
1	602
1	602
1	602
1	602
1	602
2	602
1	602
1	602
1	602
1	602
2	602
2	602
3	602
1	602
2	602
2	602
47	602
40	602
41	602
1	602
1	602
1	602
35	602
23	602
47	602
49	602
50	602
6	602
7	602
50	602
12	602
49	602
15	602
7	602
1	602
61	602
9	602
33	602
4	602
6	602
24	602
42	602
13	602
38	602
51	602
2	602
5	602
6	602
1	602
24	602
1	602
51	602
2	602
42	602
3	602
41	602
24	602
1	602
2	602
54	602
55	602
11	602
58	602
52	602
8	717
9	717
10	717
16	717
22	717
26	717
27	717
1	717
2	717
8	717
28	717
40	717
51	717
11	717
9	717
5	717
1	717
30	717
4	717
5	717
13	717
4	717
12	717
41	717
5	717
6	717
7	717
7	717
1	717
2	717
4	717
5	717
42	717
44	717
59	717
9	717
23	717
53	717
7	717
1	717
13	777
14	777
20	777
53	777
24	777
45	777
54	777
26	777
2	777
2	777
15	777
14	777
36	777
8	777
13	777
10	777
1	777
1	777
1	777
17	777
6	777
43	777
15	777
24	777
46	777
12	777
60	777
1	777
10	777
46	777
46	777
25	777
58	777
59	777
16	777
10	777
9	777
4	777
2	777
7	777
47	777
44	777
45	777
33	777
47	777
54	777
55	777
10	777
1	777
1	777
1	777
4	777
19	777
20	777
3	777
11	777
2	777
19	777
2	777
25	777
1	777
1	777
1	777
2	777
54	777
50	777
51	777
7	777
1	777
21	777
1	777
8	777
9	777
60	777
61	777
1	777
13	777
55	941
25	941
17	941
1	941
2	941
3	941
34	941
48	941
21	941
6	941
25	941
8	941
62	941
63	941
64	941
66	941
26	941
28	941
11	941
38	941
39	941
22	941
48	941
50	941
24	941
10	941
26	941
1	941
18	941
57	941
56	941
4	941
10	941
11	941
38	941
38	941
53	941
56	941
39	941
2	941
61	941
59	941
60	941
1	941
30	941
11	941
22	941
8	941
55	941
17	941
1	941
1	941
21	941
22	1006
23	1006
9	1006
2	1006
46	1006
57	1006
11	1006
2	1006
3	1006
1	1006
6	1006
38	1006
40	1006
41	1006
42	1006
57	1006
58	1006
2	1006
16	1006
23	1006
56	1006
57	1006
58	1006
11	1006
13	1006
28	1006
69	1006
54	1006
2	1006
1	1006
10	1006
25	1006
59	1006
32	1006
61	1006
29	1006
30	1006
33	1006
3	1006
1	1006
23	1006
51	1006
32	1006
1	1006
3	1006
25	1006
26	1006
62	1006
12	1006
63	1006
1	1006
1	1006
33	1006
5	1006
3	1006
28	1006
34	1006
2	1006
18	1006
34	1006
64	1006
65	1006
59	1006
60	1006
36	1006
40	1006
27	806
68	806
62	806
63	806
2	806
1	806
26	806
6	806
9	806
10	806
69	806
70	806
2	806
1	806
43	806
44	806
13	806
59	806
60	806
61	806
25	806
8	806
9	806
10	806
41	806
71	806
72	806
73	806
48	806
74	806
75	806
28	806
45	806
12	806
71	806
13	806
1	806
42	806
10	806
30	806
76	806
65	806
72	806
74	806
3	806
12	806
54	806
20	806
21	806
50	806
27	806
6	806
43	806
29	806
1	806
1	891
1	891
20	891
1	891
80	891
81	891
82	891
33	891
21	891
31	891
32	891
13	891
63	891
8	891
1	891
3	891
44	891
37	891
45	891
38	891
1	891
84	891
35	891
22	891
23	891
86	891
1	891
35	891
1	891
5	891
6	891
7	891
46	891
47	891
56	891
87	891
88	891
36	891
12	891
5	891
6	891
7	891
9	891
89	891
13	891
9	891
3	891
10	891
11	891
12	891
64	891
37	891
66	891
42	891
31	891
4	891
75	891
3	891
64	891
30	891
90	891
91	891
39	891
66	891
31	891
2	891
24	891
11	891
41	978
1	978
46	978
7	978
64	978
1	978
14	978
15	978
16	978
3	978
1	978
2	978
2	978
8	978
67	978
43	978
68	978
65	978
2	978
3	978
11	978
1	978
2	978
56	978
48	978
17	978
18	978
15	978
90	978
91	978
92	978
5	978
6	978
7	978
59	978
2	978
69	978
1	978
94	978
95	978
96	978
49	978
3	978
12	978
3	978
1	978
15	978
33	978
34	978
20	978
12	978
97	978
96	978
97	978
28	978
29	978
30	978
70	978
1	978
4	978
60	978
98	978
35	978
15	978
36	978
98	978
99	978
100	978
4	971
9	971
99	971
25	971
26	971
27	971
14	971
1	971
57	971
15	971
32	971
71	971
72	971
5	971
28	971
50	971
51	971
52	971
53	971
1	971
46	971
46	971
1	971
2	971
1	971
2	971
31	971
48	971
15	971
2	971
3	971
72	971
1	971
1	971
3	971
4	971
30	971
1	971
31	971
2	971
32	971
73	971
102	971
9	971
8	971
13	971
30	971
9	971
47	971
49	971
3	971
10	971
59	971
14	971
15	971
13	971
103	971
104	971
32	971
76	971
77	971
17	971
18	971
19	971
15	971
102	971
103	971
104	971
105	971
1	971
50	971
6	971
7	971
16	971
34	971
21	971
22	971
107	971
9	1143
52	1143
36	1143
47	1143
1	1143
53	1143
37	1143
38	1143
39	1143
27	1143
16	1143
10	1143
75	1143
20	1143
23	1143
24	1143
1	1143
54	1143
65	1143
5	1143
3	1143
4	1143
39	1143
35	1143
77	1143
8	1143
36	1143
37	1143
1	1143
2	1143
3	1143
61	1143
1	1143
55	1143
39	1143
4	1143
1	1143
73	1143
106	1143
108	1143
16	1143
17	1143
74	1143
29	1143
67	1143
1	1143
2	1143
109	1143
1	1143
3	1143
4	1143
69	1143
62	1143
31	1143
3	1143
55	1143
56	1143
61	1143
14	1143
40	1143
30	1143
41	1143
21	1143
108	1143
2	1143
2	1143
75	1143
78	1143
111	1143
112	1143
113	1143
3	1143
15	1143
16	1143
62	1143
70	1143
6	1143
7	1143
1	991
48	991
63	991
81	991
38	991
79	991
80	991
17	991
8	991
2	991
49	991
58	991
59	991
3	991
45	991
33	991
25	991
4	991
7	991
18	991
110	991
39	991
83	991
42	991
71	991
2	991
2	991
4	991
5	991
1	991
2	991
3	991
2	991
3	991
13	991
40	991
60	991
64	991
10	991
2	991
1	991
51	991
18	991
11	991
7	991
35	991
1	991
36	991
19	991
1	991
4	991
5	991
3	991
4	991
47	991
3	991
50	991
3	991
112	991
48	991
49	991
52	991
32	991
2	991
3	991
1	991
2	991
15	991
25	991
114	991
51	998
16	998
20	998
65	998
61	998
51	998
52	998
113	998
53	998
54	998
5	998
5	998
22	998
2	998
36	998
26	998
27	998
53	998
66	998
21	998
22	998
6	998
5	998
2	998
37	998
9	998
17	998
18	998
83	998
84	998
6	998
42	998
7	998
1	998
1	998
18	998
64	998
7	998
80	998
2	998
16	998
66	998
17	998
81	998
43	998
44	998
19	998
67	998
4	998
8	998
2	998
1	1103
67	1103
54	1103
1	1103
55	1103
17	1103
22	1103
6	1103
73	1103
68	1103
1	1103
1	1103
58	1103
4	1103
5	1103
6	1103
6	1103
7	1103
27	1103
54	1103
55	1103
82	1103
45	1103
9	1103
28	1103
83	1103
28	1103
40	1103
3	1103
16	1103
1	1103
69	1103
23	1103
60	1103
3	1103
29	1103
5	1103
10	1103
85	1103
88	1103
89	1103
1	1103
87	1103
88	1103
57	1103
2	1103
10	1103
5	1103
3	1103
17	1103
56	1103
69	1103
70	1103
1	1103
71	1103
89	1103
58	1103
47	1103
63	1103
59	1103
1	1103
1	1103
58	1103
1	1103
1	1103
52	1103
115	1103
116	1103
1	1103
10	1120
1	1120
25	1120
118	1120
33	1120
48	1120
1	1120
3	1120
6	1120
4	1120
2	1120
73	1120
4	1120
5	1120
74	1120
5	1120
6	1120
76	1120
7	1120
6	1120
23	1120
30	1120
1	1120
91	1120
92	1120
41	1120
90	1120
91	1120
49	1120
39	1120
117	1120
118	1120
119	1120
3	1120
2	1120
120	1120
121	1120
122	1120
2	1120
27	1120
1	1120
9	1120
70	1120
4	1120
79	1120
10	1120
71	1120
1	1120
19	1120
5	1120
72	1120
61	1120
2	1120
1	1120
19	1120
20	1120
1	1063
60	1063
1	1063
1	1063
2	1063
28	1063
94	1063
39	1063
48	1063
75	1063
2	1063
36	1063
11	1063
1	1063
3	1063
61	1063
80	1063
3	1063
120	1063
121	1063
1	1063
94	1063
43	1063
2	1063
49	1063
1	1063
12	1063
76	1063
2	1063
20	1063
66	1063
1	1063
81	1063
11	1063
123	1063
5	1063
51	1063
42	1063
3	1063
82	1063
74	1063
10	1063
11	1063
12	1063
33	1063
8	1063
52	1063
22	1063
23	1063
20	1063
53	1063
2	1063
4	1063
40	1063
75	1063
5	1063
7	1063
4	1063
31	1063
24	1063
1	1063
1	1063
1	1124
2	1124
3	1124
9	1124
64	1124
1	1124
12	1124
63	1124
98	1124
77	1124
18	1124
4	1124
2	1124
3	1124
9	1124
1	1124
2	1124
96	1124
1	1124
7	1124
37	1124
78	1124
84	1124
5	1124
18	1124
2	1124
1	1124
21	1124
2	1124
53	1124
1	1124
43	1124
2	1124
56	1124
3	1124
3	1124
3	1124
4	1124
86	1124
6	1124
44	1124
125	1124
126	1124
127	1124
128	1124
129	1124
130	1124
77	1124
43	1124
99	1124
29	1124
87	1124
7	1124
88	1124
5	1124
6	1124
5	1124
24	1124
6	1124
2	1124
27	1124
54	1124
44	1124
3	1124
11	1124
7	1124
4	1124
100	1124
101	1124
3	1124
89	1124
58	1124
28	1003
65	1003
66	1003
67	1003
14	1003
15	1003
103	1003
2	1003
90	1003
12	1003
65	1003
66	1003
1	1003
13	1003
101	1003
125	1003
4	1003
102	1003
5	1003
6	1003
126	1003
129	1003
91	1003
56	1003
57	1003
29	1003
61	1003
2	1003
1	1003
2	1003
54	1003
30	1003
31	1003
32	1003
1	1003
5	1003
54	1003
63	1003
131	1003
7	1003
62	1003
55	1003
34	1003
36	1003
8	1003
9	1003
10	1003
56	1003
57	1003
84	1003
1	1003
3	1003
47	1003
94	1003
37	1003
58	1003
38	1003
103	1003
58	1003
14	1003
2	1003
3	1003
11	1003
24	1003
14	1003
4	1003
68	1003
69	1003
70	1003
71	1003
26	1003
106	1003
95	1003
64	1003
65	1003
67	1003
30	952
31	952
6	952
41	952
79	952
109	952
96	952
110	952
41	952
55	952
106	952
107	952
131	952
133	952
97	952
38	952
40	952
41	952
42	952
44	952
1	952
43	952
46	952
59	952
47	952
50	952
51	952
52	952
98	952
45	952
87	952
53	952
43	952
5	952
6	952
11	952
44	952
7	928
71	928
72	928
46	928
80	928
10	928
27	928
72	928
3	928
10	928
55	928
56	928
58	928
73	928
26	928
12	928
28	928
13	928
2	928
111	928
10	928
21	928
1	928
34	928
48	928
100	928
135	928
22	928
49	928
60	928
35	928
36	928
37	928
11	928
47	928
12	928
37	928
45	928
48	928
49	928
110	928
4	928
1	928
49	928
29	928
75	928
76	928
77	928
88	928
39	928
40	928
48	928
103	928
66	928
67	928
68	928
9	928
61	928
48	928
75	787
139	787
81	787
62	787
2	787
29	787
80	787
2	787
77	787
140	787
141	787
83	787
51	787
1	787
51	787
25	787
104	787
52	787
8	787
80	787
81	787
84	787
31	787
41	787
87	787
88	787
62	787
132	787
11	787
6	787
70	787
72	787
89	787
90	787
91	787
45	787
5	787
108	787
81	787
13	787
9	787
12	787
47	787
48	787
2	787
31	787
83	662
94	662
95	662
97	662
69	662
70	662
148	662
109	662
73	662
40	662
98	662
30	662
13	662
115	662
116	662
4	662
14	662
10	662
150	662
5	662
15	662
11	662
10	662
11	662
53	662
54	662
82	662
155	662
74	662
75	662
76	662
118	662
100	662
50	662
51	662
135	662
49	662
55	662
65	662
101	662
12	662
116	662
16	662
124	662
125	662
58	662
50	629
84	629
87	629
13	629
14	629
3	629
84	629
158	629
90	629
91	629
159	629
66	629
62	629
117	629
160	629
161	629
162	629
78	629
85	629
14	629
3	629
33	629
126	629
127	629
136	629
137	629
138	629
15	629
16	629
43	629
163	629
80	629
81	629
102	629
139	629
140	629
82	629
83	629
103	629
34	629
6	543
43	543
58	543
8	543
34	543
1	543
167	543
16	543
44	543
117	543
90	543
123	543
45	543
124	543
13	543
54	543
12	543
91	543
35	543
36	543
72	543
73	543
52	543
9	491
60	491
94	491
61	491
75	491
62	491
95	491
130	491
23	491
93	491
94	491
90	491
38	491
49	491
11	491
1	491
20	491
35	491
128	491
5	491
41	491
56	491
64	491
122	491
76	491
18	491
65	491
42	491
124	491
87	491
57	491
130	491
12	491
8	491
174	491
9	491
58	491
46	491
132	491
48	491
3	491
44	491
45	491
176	442
88	442
75	442
49	442
96	442
102	442
47	442
76	442
87	442
134	442
81	442
82	442
179	442
143	442
144	442
135	442
17	442
92	442
145	442
146	442
128	442
129	442
83	442
186	442
137	377
131	377
12	377
105	377
106	377
42	377
187	377
188	377
110	377
48	377
11	377
67	377
85	377
70	377
90	377
51	377
55	377
71	377
13	377
14	377
86	377
140	285
33	285
91	285
92	285
93	285
20	285
21	285
88	285
89	285
142	285
143	285
22	285
90	285
17	285
1	285
1	285
1	285
61	285
71	285
18	285
125	285
94	285
93	230
126	230
96	230
104	230
105	230
106	230
95	230
96	230
127	230
83	230
146	230
135	230
73	230
136	230
85	230
11	230
1	230
4	230
43	230
4	230
148	180
149	180
5	180
96	180
6	180
65	180
87	180
1	180
67	180
201	180
75	180
152	180
74	180
140	180
101	180
102	180
141	180
31	180
9	180
98	180
5	180
155	177
143	177
156	177
1	177
157	177
70	177
1	177
103	177
75	177
71	177
38	177
159	183
102	183
52	183
163	183
102	183
61	183
73	183
106	183
104	142
145	142
105	142
108	142
167	142
59	142
60	142
128	149
106	149
105	149
171	149
129	142
149	142
22	142
174	142
2	142
113	142
175	142
176	142
68	113
77	101
115	101
181	101
8	101
46	81
47	81
13	81
186	81
40	81
187	81
155	81
156	81
188	59
190	59
23	59
49	68
192	87
52	87
118	87
54	87
197	100
160	100
12	100
108	73
13	73
16	73
200	71
122	71
15	71
98	90
123	90
201	90
166	90
14	90
1	97
120	265
1	301
121	301
15	301
16	301
123	301
202	301
203	301
204	301
109	230
12	230
205	230
167	230
4	230
5	230
168	230
206	230
207	230
18	230
124	230
48	230
208	230
127	230
128	230
129	230
7	230
209	230
210	230
211	230
109	230
213	375
111	375
130	375
131	375
132	375
214	375
215	375
216	375
8	375
24	375
112	375
63	375
64	375
125	375
133	375
217	375
23	375
24	375
9	429
22	429
134	429
110	429
25	429
74	429
218	429
23	429
24	429
56	429
127	429
111	429
99	429
11	429
2	429
69	429
26	429
221	429
222	429
128	429
112	429
223	429
224	429
225	429
13	429
131	429
227	429
228	429
63	429
138	602
26	602
229	602
15	602
44	602
27	602
230	602
1	602
132	602
49	602
17	602
140	602
232	602
233	602
27	602
28	602
66	602
135	602
29	602
82	602
173	602
45	602
28	602
141	602
142	602
136	602
137	602
28	602
36	602
37	602
1	602
235	602
3	602
4	602
65	602
236	602
237	602
61	602
144	602
13	602
1	602
38	602
55	602
100	602
101	602
111	717
112	717
238	717
239	717
20	717
174	717
1	717
2	717
4	717
65	717
21	717
78	717
240	717
30	717
175	717
79	717
24	717
86	717
80	717
81	717
22	717
31	717
82	717
83	717
77	717
30	717
33	717
65	717
241	717
7	717
242	717
244	717
117	717
70	717
71	717
71	717
245	717
25	717
87	717
138	717
206	717
46	717
148	717
3	717
246	717
88	717
4	717
207	717
35	717
176	717
115	717
15	717
20	717
87	717
1	717
26	717
73	717
27	717
89	717
248	717
249	717
250	717
251	717
252	717
90	717
146	717
23	717
147	717
136	717
36	717
37	717
116	717
72	717
78	717
67	717
82	717
114	777
91	777
89	777
49	777
177	777
210	777
5	777
25	777
117	777
52	777
53	777
29	777
1	777
149	777
150	777
90	777
29	777
118	777
91	777
